area_name,year,chnamurder_cause_by_terroristextremist,chnamurder_cause_casteism,chnamurder_cause_class_conflict,chnamurder_cause_communalism,chnamurder_cause_dowry,chnamurder_cause_for_political_reason,chnamurder_cause_gain,chnamurder_cause_love_affairssexual_relations,chnamurder_cause_lunacy,chnamurder_cause_other_causes_or_motives,chnamurder_cause_personal_vendetta_or_enmity,chnamurder_cause_property_dispute,chnamurder_cause_total,chnamurder_cause_witchcraft,murder_cause_by_terroristextremist,murder_cause_casteism,murder_cause_class_conflict,murder_cause_communalism,murder_cause_dowry,murder_cause_for_political_reason,murder_cause_gain,murder_cause_love_affairssexual_relations,murder_cause_lunacy,murder_cause_other_causes_or_motives,murder_cause_personal_vendetta_or_enmity,murder_cause_property_dispute,murder_cause_total,murder_cause_witchcraft
Odisha,2001,0,0,0,0,10,0,1,1,0,35,1,5,53,0,2,0,0,0,133,17,37,51,0,523,145,49,987,30
Puducherry,2001,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,10,13,0,25,0
Punjab,2001,0,0,0,0,0,0,1,1,0,60,5,13,80,0,0,0,2,0,13,0,33,82,0,479,57,72,738,0
Rajasthan,2001,0,0,0,0,1,0,0,0,0,59,2,1,63,0,0,0,0,0,36,0,76,43,1,913,110,80,1259,0
Sikkim,2001,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,3,2,0,9,5,0,19,0
Tamil Nadu,2001,0,0,0,0,0,0,1,0,0,18,0,0,19,0,0,2,0,0,3,4,79,194,0,805,443,132,1662,0
Tripura,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,14,0,7,6,0,84,35,12,240,0
Uttar Pradesh,2001,0,0,0,0,0,0,2,5,2,1133,18,26,1186,0,0,0,0,7,0,0,289,424,1,5177,1207,496,7601,0
Uttarakhand,2001,0,0,0,0,0,0,1,0,0,36,0,1,38,0,0,0,0,0,0,0,2,18,0,254,19,23,316,0
West Bengal,2001,0,0,0,0,0,5,2,0,0,533,29,12,581,0,1,0,0,0,9,21,16,39,0,1308,158,29,1594,13
Andaman & Nicobar Islands,2002,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,6,1,0,5,1,17,0
Andhra Pradesh,2002,0,0,0,0,0,0,0,0,0,157,2,6,165,0,64,4,2,1,91,26,102,400,2,1355,277,178,2525,23
Arunachal Pradesh,2002,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,3,2,0,49,6,1,61,0
Assam,2002,0,0,0,0,0,0,4,19,1,22,1,8,55,0,117,0,0,2,49,2,102,50,1,623,166,140,1253,1
Bihar,2002,0,0,0,0,15,0,5,1,0,340,21,14,396,0,27,26,8,0,239,53,259,146,2,1519,591,841,3712,1
Chandigarh,2002,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,1,0,2,1,0,19,8,0,31,0
Chhattisgarh,2002,0,0,0,0,1,0,1,0,0,22,0,0,24,0,9,5,4,0,14,0,17,69,9,575,73,65,844,4
Dadra & Nagar Haveli,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,6,1,1,11,0
Daman & Diu,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,8,0
Delhi,2002,0,0,0,0,0,0,1,1,0,51,10,5,68,0,0,1,0,0,89,0,36,88,0,208,60,49,531,0
Goa,2002,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,8,1,1,14,4,2,30,0
Gujarat,2002,0,0,0,1,0,0,1,0,0,10,0,1,13,0,1,4,0,276,20,9,76,166,11,669,169,127,1532,4
Haryana,2002,0,0,0,0,0,0,1,6,0,40,23,19,89,0,0,0,25,0,1,0,23,59,0,323,164,165,760,0
Himachal Pradesh,2002,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,7,7,0,77,18,14,123,0
Jammu & Kashmir,2002,0,0,0,0,0,0,0,0,0,30,1,0,31,0,889,0,0,0,1,6,1,8,0,128,6,9,1048,0
Kerala,2002,0,0,0,0,0,12,0,0,0,163,34,1,210,0,0,0,1,5,2,18,26,4,3,180,197,18,454,0
Lakshadweep,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2002,0,0,0,0,1,0,2,15,3,161,6,6,194,0,2,0,10,7,35,2,114,213,8,1185,506,289,2395,24
Maharashtra,2002,0,0,0,0,1,0,2,0,0,87,0,3,93,0,18,0,16,4,104,12,98,317,11,1833,210,131,2768,14
Manipur,2002,0,0,0,0,0,0,0,0,0,3,0,0,3,0,58,0,0,0,0,0,0,1,0,97,6,3,165,0
Meghalaya,2002,0,0,0,0,0,0,0,0,0,3,0,0,3,0,22,0,0,0,0,0,19,2,0,104,13,7,167,0
Mizoram,2002,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,2,1,0,18,7,1,29,0
Nagaland,2002,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,4,0,1,2,88,0,0,100,0
Odisha,2002,0,0,0,0,6,0,0,2,0,44,3,3,58,0,3,0,1,0,168,11,42,50,0,575,140,46,1075,39
Puducherry,2002,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,11,16,0,29,0
Punjab,2002,0,0,0,0,0,0,0,2,0,74,1,2,79,0,0,0,0,0,4,1,12,85,0,502,41,88,733,0
Rajasthan,2002,0,0,0,0,16,0,1,0,0,50,1,0,68,0,0,1,0,0,43,1,45,30,0,961,113,82,1276,0
Sikkim,2002,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,3,1,0,6,1,1,13,1
Tamil Nadu,2002,0,0,0,0,0,0,2,0,0,32,2,0,36,0,0,3,0,2,4,0,80,177,0,996,350,111,1723,0
Tripura,2002,0,0,0,0,0,0,0,1,0,0,0,0,1,0,72,0,0,0,16,0,7,4,0,60,30,12,201,0
Uttar Pradesh,2002,0,0,0,2,0,0,0,9,0,1211,17,4,1243,0,0,0,0,7,0,3,238,392,1,4807,915,462,6825,0
Uttarakhand,2002,0,0,0,0,0,0,2,0,0,41,2,2,47,0,0,0,0,0,0,2,23,11,0,205,23,28,292,0
West Bengal,2002,0,0,0,0,0,0,0,1,0,493,25,21,540,0,3,0,0,0,17,19,28,45,0,1146,145,27,1444,14
Andaman & Nicobar Islands,2003,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,3,1,7,4,3,21,0
Andhra Pradesh,2003,0,0,0,0,0,0,4,1,0,115,17,9,147,1,114,5,24,5,116,38,138,442,10,1171,364,203,2667,37
Arunachal Pradesh,2003,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,19,0,0,53,3,2,77,0
Assam,2003,0,0,0,0,0,0,3,1,0,37,4,3,48,0,66,0,2,0,50,0,79,38,1,648,153,153,1191,1
Bihar,2003,0,0,4,0,12,0,4,4,0,192,26,52,298,4,50,34,8,0,193,45,307,181,0,1468,688,797,3771,0
Chandigarh,2003,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,14,6,0,21,0
Chhattisgarh,2003,0,0,0,0,6,0,0,0,0,38,1,1,51,5,5,7,15,0,7,1,17,38,10,516,89,62,776,9
Dadra & Nagar Haveli,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,1,0,11,1
Daman & Diu,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,6,0
Delhi,2003,0,0,0,0,0,0,4,3,0,41,8,9,65,0,0,1,2,0,13,1,27,47,0,320,49,24,485,1
Goa,2003,0,0,0,0,0,0,1,0,0,4,1,0,6,0,0,0,0,0,0,0,3,2,0,20,6,3,34,0
Gujarat,2003,0,0,0,0,1,0,3,0,0,24,0,1,29,0,1,0,0,4,19,4,72,165,8,585,148,107,1114,1
Haryana,2003,0,0,0,2,0,0,1,3,1,39,19,11,76,0,0,0,0,31,10,0,28,48,1,265,171,148,702,0
Himachal Pradesh,2003,0,0,0,0,0,0,0,0,0,4,0,1,5,0,0,0,0,0,2,1,14,21,1,57,11,18,125,0
Jammu & Kashmir,2003,0,0,0,0,0,0,0,0,0,29,0,0,29,0,799,0,0,0,0,3,2,1,0,96,8,20,929,0
Jharkhand,2003,0,0,0,0,0,0,1,0,0,95,10,3,109,0,27,5,5,0,75,2,106,72,0,778,192,201,1482,19
Karnataka,2003,0,0,0,0,0,0,0,1,0,57,0,0,58,0,0,6,0,3,34,4,48,134,0,1040,136,101,1506,0
Kerala,2003,0,0,0,0,1,11,0,1,0,232,98,0,343,0,0,0,0,3,1,11,22,7,3,190,166,32,435,0
Lakshadweep,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2003,0,0,0,0,0,0,7,10,1,150,20,12,203,3,27,0,0,17,94,5,84,246,7,1002,440,279,2227,26
Maharashtra,2003,0,0,0,0,1,0,1,1,1,108,0,1,113,0,28,3,16,0,111,9,92,300,8,1878,185,133,2772,9
Manipur,2003,1,0,0,0,0,0,0,0,0,5,0,0,6,0,76,0,0,0,0,0,1,1,0,65,5,2,150,0
Meghalaya,2003,0,0,0,0,0,0,4,2,0,11,0,0,17,0,22,0,0,1,0,0,33,5,2,88,18,6,175,0
Mizoram,2003,0,0,0,0,0,0,0,1,0,2,0,0,3,0,1,0,0,0,0,0,2,3,1,27,1,11,46,0
Nagaland,2003,0,0,0,0,0,0,0,0,0,8,0,0,8,0,8,0,0,0,0,0,3,0,1,74,3,2,91,0
Odisha,2003,0,0,0,0,36,0,9,3,0,136,2,2,188,0,6,0,6,0,169,4,38,61,0,533,149,52,1044,26
Puducherry,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,11,13,2,29,0
Punjab,2003,0,0,0,0,7,0,4,1,0,66,2,9,89,0,0,0,0,0,9,0,20,54,0,521,46,81,731,0
Rajasthan,2003,0,0,0,0,8,0,0,2,0,50,0,1,61,0,0,0,0,0,55,0,55,38,0,888,112,113,1262,1
Sikkim,2003,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,4,1,1,5,2,1,14,0
Tamil Nadu,2003,0,0,0,0,0,0,0,0,0,27,1,0,28,0,5,5,0,0,18,3,104,195,0,774,361,126,1591,0
Tripura,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,2,4,21,1,0,86,37,6,254,0
Uttar Pradesh,2003,0,0,0,0,0,0,4,5,6,1474,11,25,1525,0,1,11,1,4,0,0,230,357,1,3760,634,285,5284,0
Uttarakhand,2003,0,0,0,0,0,0,0,1,0,29,0,1,31,0,0,0,0,0,0,1,19,15,0,196,18,19,268,0
West Bengal,2003,0,0,0,0,0,1,0,3,0,439,23,18,484,0,1,0,0,0,14,22,21,26,0,1182,126,24,1425,9
Andaman & Nicobar Islands,2004,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,5,5,1,15,0
Andhra Pradesh,2004,0,0,0,0,0,0,15,0,0,139,8,0,163,1,52,3,8,0,116,46,129,390,6,1168,458,179,2579,24
Arunachal Pradesh,2004,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,4,1,52,6,3,67,0
Assam,2004,0,0,0,0,0,0,3,2,0,55,0,3,63,0,77,0,2,0,62,0,47,44,2,729,91,160,1214,0
Bihar,2004,3,0,0,0,10,0,6,2,0,215,15,29,280,0,42,14,0,0,261,37,301,169,0,1914,441,769,3948,0
Chandigarh,2004,0,0,0,0,0,0,0,0,0,6,2,2,10,0,0,0,0,0,0,0,0,1,0,17,4,0,22,0
Chhattisgarh,2004,0,0,0,0,0,0,2,2,0,16,3,2,25,0,33,2,17,8,15,0,23,64,6,522,153,73,927,11
Dadra & Nagar Haveli,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,6,1,1,11,0
Daman & Diu,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3,0
Delhi,2004,0,0,0,0,0,0,9,3,0,60,1,7,80,0,0,0,0,0,0,0,33,31,0,283,60,74,481,0
Goa,2004,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,10,4,0,18,7,1,40,0
Gujarat,2004,0,0,0,0,0,0,0,1,0,20,5,1,27,0,1,2,0,7,10,2,60,129,5,663,116,117,1113,1
Haryana,2004,7,0,0,0,0,0,3,1,0,30,16,8,65,0,11,0,0,27,12,0,29,56,1,252,174,171,733,0
Himachal Pradesh,2004,0,0,0,0,0,0,0,0,0,8,2,2,12,0,0,1,0,0,2,0,9,11,1,50,21,15,110,0
Jammu & Kashmir,2004,0,0,0,0,0,0,0,0,0,26,0,3,29,0,684,0,0,0,0,0,1,0,0,105,9,17,816,0
Karnataka,2004,0,0,0,0,0,0,3,0,0,51,3,0,57,0,0,2,0,3,27,10,48,109,0,1115,130,75,1519,0
Kerala,2004,2,0,0,0,5,25,12,0,0,348,36,45,473,0,1,0,0,0,1,9,28,7,0,188,172,11,417,0
Lakshadweep,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2004,0,0,0,0,3,0,2,2,0,174,6,1,188,0,2,1,3,3,78,5,91,215,2,1162,489,314,2379,14
Maharashtra,2004,0,0,1,0,2,0,0,0,3,106,2,1,115,0,14,0,32,0,99,8,74,267,6,1830,215,147,2696,4
Manipur,2004,0,0,0,0,0,0,0,0,0,3,0,0,3,0,75,0,0,0,0,0,0,0,0,77,7,0,159,0
Meghalaya,2004,0,0,0,1,0,0,2,0,0,4,0,0,7,0,16,0,0,1,1,0,3,1,0,76,15,10,124,1
Mizoram,2004,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,1,8,0,0,24,1,0,35,0
Nagaland,2004,0,0,0,0,0,0,0,0,0,4,0,1,5,0,10,0,0,1,0,3,0,0,0,55,1,0,70,0
Odisha,2004,0,0,0,0,1,0,2,2,0,13,2,5,25,0,6,0,13,0,163,2,41,63,0,596,115,45,1066,22
Puducherry,2004,0,0,0,0,0,0,0,1,0,12,1,0,14,0,0,0,0,0,0,0,2,1,0,9,13,0,25,0
Punjab,2004,0,0,0,0,14,0,0,0,0,117,3,14,148,0,0,0,0,0,7,0,15,77,0,570,32,74,775,0
Rajasthan,2004,0,0,0,0,4,0,2,1,0,52,0,0,59,0,0,0,0,0,50,0,51,38,0,969,114,57,1279,0
Sikkim,2004,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1,2,0,9,4,0,16,0
Tamil Nadu,2004,0,0,0,0,0,0,0,0,0,26,0,0,26,0,0,5,0,0,17,6,73,169,0,782,302,125,1479,0
Tripura,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,3,0,1,2,27,2,0,54,26,11,189,0
Uttar Pradesh,2004,0,0,0,0,0,0,2,32,0,1360,16,26,1436,0,0,0,1,4,0,3,296,422,0,4398,685,317,6126,0
Uttarakhand,2004,0,0,0,0,0,0,3,0,0,22,1,3,29,0,0,0,0,0,0,0,12,24,1,177,33,15,262,0
West Bengal,2004,1,0,0,0,1,3,1,1,0,434,19,8,468,0,2,0,0,0,16,15,28,55,0,1141,131,29,1425,8
Andaman & Nicobar Islands,2005,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,13,0,0,14,0
Andhra Pradesh,2005,0,0,0,0,0,0,1,1,0,104,5,0,111,0,125,0,8,0,149,11,184,416,4,1322,283,173,2750,75
Arunachal Pradesh,2005,0,0,0,0,0,0,0,0,0,5,0,0,5,0,1,0,0,0,0,0,3,5,0,57,12,3,81,0
Assam,2005,5,0,0,0,0,0,1,17,0,70,13,11,117,0,51,0,2,0,50,0,61,48,2,753,98,129,1194,0
Bihar,2005,0,0,0,0,4,0,7,3,0,206,4,35,259,0,21,20,1,0,178,45,329,118,2,1728,357,671,3471,1
Chandigarh,2005,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,1,2,0,14,1,0,18,0
Chhattisgarh,2005,0,0,0,0,0,0,2,0,0,38,0,1,41,0,88,5,6,11,57,4,42,58,22,471,151,89,1013,9
Dadra & Nagar Haveli,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,1,7,0
Daman & Diu,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,5,0
Delhi,2005,0,0,0,0,0,0,3,0,0,50,8,3,64,0,2,0,0,0,0,0,0,58,0,304,60,31,455,0
Goa,2005,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,3,2,1,30,3,6,45,0
Gujarat,2005,0,0,0,0,0,0,2,3,0,21,1,0,27,0,0,1,1,3,15,0,75,139,8,561,116,108,1033,6
Haryana,2005,0,0,0,0,0,0,3,0,0,38,7,9,57,0,0,0,0,0,12,0,32,56,1,288,181,186,784,28
Himachal Pradesh,2005,0,0,0,0,0,0,1,0,0,15,1,5,22,0,0,0,0,0,0,0,5,8,0,76,10,11,110,0
Jammu & Kashmir,2005,4,0,0,0,0,0,0,1,0,27,4,1,37,0,495,0,0,0,1,2,5,5,0,108,18,13,647,0
Jharkhand,2005,3,0,0,0,15,4,10,6,0,17,12,20,87,0,29,1,0,0,67,3,47,93,0,765,264,228,1523,26
Karnataka,2005,0,0,0,0,0,0,80,0,0,0,0,0,80,0,0,3,0,3,44,11,37,114,0,1146,164,87,1609,0
Kerala,2005,0,0,0,0,0,0,0,0,0,71,15,2,88,0,0,0,0,2,3,10,21,3,3,196,132,18,388,0
Lakshadweep,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Madhya Pradesh,2005,0,0,0,0,0,0,0,3,0,125,4,2,134,0,2,4,1,0,57,16,111,226,2,1241,447,285,2405,13
Maharashtra,2005,0,0,0,0,1,0,0,0,0,90,6,1,98,0,31,0,31,0,109,6,61,269,7,1806,174,120,2621,7
Manipur,2005,1,0,0,0,0,0,0,0,0,3,0,0,4,0,110,0,0,0,0,0,0,0,0,146,0,0,256,0
Meghalaya,2005,0,0,0,0,0,0,1,0,0,1,0,0,2,0,3,0,0,1,0,0,6,4,1,99,12,7,134,1
Mizoram,2005,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,1,0,0,20,1,2,24,0
Nagaland,2005,0,0,0,0,0,0,1,0,0,6,0,1,8,0,21,0,0,0,0,0,0,0,1,58,2,5,87,0
Odisha,2005,0,0,0,0,5,0,4,2,0,32,4,1,48,0,2,0,1,0,191,3,45,56,1,539,159,57,1079,25
Puducherry,2005,0,0,0,0,0,0,0,0,0,4,4,0,8,0,0,0,0,0,0,0,2,0,0,10,6,1,19,0
Punjab,2005,0,0,0,0,8,0,0,0,0,202,1,5,216,0,0,0,0,0,5,0,14,96,0,469,47,81,713,1
Rajasthan,2005,0,0,0,0,0,0,1,1,0,56,1,0,59,0,0,0,0,0,51,0,43,34,1,949,96,47,1221,0
Sikkim,2005,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,6,0,0,8,0
Tamil Nadu,2005,0,0,0,0,0,0,0,1,0,23,4,0,28,0,0,2,0,2,9,0,74,176,2,767,288,120,1440,0
Tripura,2005,0,0,0,0,0,0,0,0,0,1,0,0,1,0,24,0,0,0,8,0,14,1,0,52,15,7,121,0
Uttar Pradesh,2005,0,0,0,0,0,0,0,4,2,1486,9,19,1520,0,0,11,0,5,0,4,211,397,0,4180,628,275,5711,0
Uttarakhand,2005,0,0,0,0,0,0,0,0,0,25,5,0,30,0,0,0,0,0,0,1,13,18,0,182,45,20,279,0
West Bengal,2005,0,0,0,0,0,1,1,2,0,370,22,12,408,0,2,0,0,0,32,8,21,29,0,1219,108,29,1453,5
Andaman & Nicobar Islands,2006,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0
Andhra Pradesh,2006,0,0,0,0,0,0,2,1,0,116,1,3,123,0,35,0,0,0,107,83,227,375,3,1437,257,216,2766,26
Arunachal Pradesh,2006,0,0,0,0,0,0,0,0,0,3,0,0,3,0,2,0,0,0,0,0,9,5,0,35,5,4,60,0
Assam,2006,0,0,0,0,0,0,1,0,0,28,0,3,32,0,59,3,0,0,34,1,86,30,0,719,101,168,1207,6
Bihar,2006,0,0,0,0,1,0,12,8,0,224,22,59,326,0,10,10,4,0,173,19,242,120,1,1717,375,567,3249,11
Chandigarh,2006,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,10,1,1,12,0
Chhattisgarh,2006,0,0,0,0,0,0,0,0,0,15,0,0,15,0,194,5,0,0,9,1,41,82,19,510,127,100,1098,10
Dadra & Nagar Haveli,2006,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,7,0,1,9,0
Daman & Diu,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,6,0
Delhi,2006,0,0,0,0,1,0,0,1,0,59,10,4,75,0,0,0,0,0,7,0,41,78,0,258,59,33,476,0
Goa,2006,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,8,4,0,18,7,2,39,0
Gujarat,2006,0,0,0,0,0,0,0,0,0,24,0,0,24,0,0,1,0,4,10,1,74,168,7,654,133,110,1165,3
Himachal Pradesh,2006,0,0,0,0,0,0,1,0,0,16,2,1,20,0,0,0,0,0,0,0,2,7,0,71,19,12,111,0
Jammu & Kashmir,2006,0,0,0,0,0,0,0,0,1,39,0,0,40,0,344,0,0,0,0,0,4,9,0,106,16,8,487,0
Jharkhand,2006,0,0,0,0,0,0,7,1,0,82,2,4,97,1,26,0,0,1,51,3,112,96,4,810,180,180,1492,29
Karnataka,2006,0,0,0,0,0,0,0,2,0,64,2,0,68,0,0,0,1,4,53,4,55,108,0,1188,132,82,1627,0
Kerala,2006,0,0,0,0,0,0,0,0,0,83,4,0,87,0,0,0,0,0,3,10,26,5,3,183,154,9,393,0
Lakshadweep,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
