state_ut,district,year,infanticid,other_murder,rape,kidnapping_and_abduction,foeticide,abetment_of_suicide,exposure_and_abandonment,procuration_of_minor_girls,buying_of_girls_for_prostitution,selling_of_girls_for_prostitution,prohibition_of_child_marriage_act,other_crimes,total
Bihar,JEHANABAD,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,KATIHAR,2013,0,7,5,13,0,0,0,0,0,0,0,0,25
Bihar,KATIHAR RLY.,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,KHAGARIA,2013,0,1,1,26,0,0,0,0,0,0,0,0,28
Bihar,KISHANGANJ,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,LAKHISARAI,2013,0,9,1,30,0,0,0,0,0,0,0,0,40
Bihar,MADHEPURA,2013,0,0,0,20,0,0,0,42,0,0,0,0,62
Bihar,MADHUBANI,2013,0,1,0,12,0,0,0,0,0,0,0,0,13
Bihar,MOTIHARI,2013,0,1,1,128,0,0,0,1,0,1,0,0,132
Bihar,MUNGER,2013,0,1,1,11,0,0,0,0,0,0,0,0,13
Bihar,MUZAFFARPUR,2013,0,6,6,226,0,0,0,0,0,0,0,0,238
Bihar,MUZAFFARPUR RLY.,2013,0,0,1,0,0,0,0,0,0,0,0,0,1
Bihar,NALANDA,2013,0,1,1,1,0,0,0,23,0,0,0,0,26
Bihar,NAUGACHIA,2013,0,0,0,0,0,0,0,0,0,0,0,2,2
Bihar,NAWADAH,2013,0,7,0,39,0,0,0,0,0,0,0,0,46
Bihar,PATNA,2013,0,10,0,0,0,0,0,15,0,0,0,0,25
Bihar,PATNA RLY.,2013,0,0,0,6,0,0,0,0,0,0,0,6,12
Bihar,PURNEA,2013,0,3,2,35,0,0,0,0,0,0,0,0,40
Bihar,ROHTAS,2013,0,8,4,110,0,0,0,4,0,0,0,0,126
Bihar,SAHARSA,2013,0,4,5,15,0,0,0,38,0,0,0,0,62
Bihar,SAMASTIPUR,2013,0,1,3,24,0,0,0,8,0,0,0,2,38
Bihar,SARAN,2013,0,1,0,107,0,0,0,0,0,0,0,0,108
Bihar,SHEIKHPURA,2013,0,0,8,36,0,0,0,0,0,0,0,0,44
Bihar,SHEOHAR,2013,0,0,0,0,0,0,0,22,0,0,0,0,22
Bihar,SITAMARHI,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,SIWAN,2013,0,1,1,5,0,0,0,0,0,0,0,0,7
Bihar,SUPAUL,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,VAISHALI,2013,0,13,10,76,0,0,0,0,0,0,0,0,99
Bihar,TOTAL,2013,0,101,86,1180,1,0,1,193,0,3,1,14,1580
Chhattisgarh,BALOD,2013,0,0,10,30,3,0,0,0,0,0,0,35,78
Chhattisgarh,BALODA BAZAR,2013,0,2,26,96,0,0,0,0,0,0,0,43,167
Chhattisgarh,BALRAMPUR,2013,0,4,4,13,0,0,0,0,0,0,0,40,61
Chhattisgarh,BEMETARA,2013,0,1,16,38,0,0,0,0,0,0,0,29,84
Chhattisgarh,BILASPUR,2013,0,1,13,25,2,0,0,0,0,0,0,75,116
Chhattisgarh,BIZAPUR,2013,0,0,1,14,0,1,0,0,0,0,0,21,37
Chhattisgarh,DANTEWARA,2013,1,6,1,6,0,0,0,0,0,0,0,5,19
Chhattisgarh,DHAMTARI,2013,0,0,21,33,0,0,3,0,0,0,0,34,91
Chhattisgarh,DURG,2013,0,6,60,103,0,0,0,0,0,0,0,202,371
Chhattisgarh,GARIYABAND,2013,0,0,24,16,0,0,0,0,0,0,0,14,54
Chhattisgarh,GRP RAIPUR,2013,0,0,1,2,0,0,3,0,0,0,0,0,6
Chhattisgarh,JAGDALPUR,2013,0,0,34,42,0,0,0,0,0,0,0,0,76
Chhattisgarh,JANJGIR,2013,0,7,25,191,1,2,1,0,0,0,0,109,336
Chhattisgarh,JASHPUR,2013,0,0,52,60,0,0,0,0,0,0,0,44,156
Chhattisgarh,KABIRDHAM,2013,0,1,4,1,0,0,0,0,0,0,0,35,41
Chhattisgarh,KANKER,2013,0,1,24,48,0,0,0,0,0,0,0,27,100
Chhattisgarh,KONDAGAON,2013,10,1,0,0,9,25,0,0,0,0,0,35,80
Chhattisgarh,KORBA,2013,0,4,26,73,0,0,0,0,0,0,0,40,143
Chhattisgarh,KORIYA,2013,0,2,32,70,0,0,0,0,0,0,0,30,134
Chhattisgarh,MAHASAMUND,2013,0,2,24,108,0,0,0,0,0,0,0,23,157
Chhattisgarh,MUNGELI,2013,0,0,16,55,0,0,0,0,0,0,0,17,88
Chhattisgarh,NARAYANPUR,2013,0,0,5,2,0,0,0,0,0,0,0,6,13
Chhattisgarh,RAIGARH,2013,1,3,15,106,0,0,0,0,0,0,1,27,153
Chhattisgarh,RAIPUR,2013,1,5,76,427,0,0,0,0,0,0,0,229,738
Chhattisgarh,RAJNANDGAON,2013,2,0,21,0,0,67,0,0,0,0,0,39,129
Chhattisgarh,SARGUJA,2013,0,1,28,18,0,0,0,0,0,0,0,66,113
Chhattisgarh,SUKMA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,SURAJPUR,2013,0,2,36,57,0,0,0,44,0,0,0,57,196
Chhattisgarh,TOTAL,2013,15,49,595,1634,15,95,7,44,0,0,1,1282,3737
Goa,NORTH GOA,2013,0,0,33,43,0,1,0,0,0,0,0,79,156
Goa,SOUTH GOA,2013,0,0,26,47,0,0,2,0,0,0,0,39,114
Goa,TOTAL,2013,0,0,59,90,0,1,2,0,0,0,0,118,270
Gujarat,AHMEDABAD COMMR.,2013,0,0,49,344,0,0,24,0,0,2,0,0,419
Gujarat,AHMEDABAD RURAL,2013,0,4,1,21,0,0,0,0,0,0,0,0,26
Gujarat,AHWA-DANG,2013,0,0,0,1,0,0,0,0,0,0,0,1,2
Gujarat,AMRELI,2013,0,2,5,47,0,0,2,0,0,0,1,0,57
Gujarat,ANAND,2013,0,2,3,59,0,0,6,0,0,0,0,0,70
Gujarat,BHARUCH,2013,0,1,14,40,0,0,2,0,0,0,0,0,57
Gujarat,BHAVNAGAR,2013,0,8,5,22,0,0,9,0,0,0,1,23,68
Gujarat,CID CRIME,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,DAHOD,2013,0,5,7,61,0,0,4,0,0,0,0,12,89
Gujarat,GANDHINAGAR,2013,0,2,9,25,0,0,1,0,0,0,0,0,37
Gujarat,HIMATNAGAR,2013,0,4,1,57,0,0,7,0,0,0,1,0,70
Gujarat,JAMNAGAR,2013,0,6,9,16,0,0,3,0,0,0,1,0,35
Gujarat,JUNAGADH,2013,0,6,14,46,0,0,4,0,0,0,2,8,80
Gujarat,KHEDA NORTH,2013,0,2,2,63,0,0,9,0,0,0,1,0,77
Gujarat,KUTCH (EAST(G)),2013,0,0,4,12,0,0,2,0,0,0,0,0,18
Gujarat,KUTCH (WEST-BHUJ),2013,0,0,13,26,0,0,2,0,0,0,0,0,41
Gujarat,MEHSANA,2013,0,4,0,4,0,0,0,0,0,0,1,45,54
Gujarat,NARMADA,2013,0,0,1,3,0,0,0,0,0,0,0,0,4
Gujarat,NAVSARI,2013,0,2,3,15,0,0,2,0,0,0,1,0,23
Gujarat,PALANPUR,2013,0,0,6,7,0,0,0,0,0,0,0,3,16
Gujarat,PANCHMAHAL,2013,0,4,9,79,0,0,6,0,0,0,0,0,98
Gujarat,PATAN,2013,0,0,3,5,0,0,2,0,0,0,0,3,13
Gujarat,PORBANDAR,2013,0,1,3,8,0,0,0,0,0,0,1,5,18
Gujarat,RAJKOT COMMR.,2013,0,1,5,39,1,0,10,0,0,0,0,18,74
Gujarat,RAJKOT RURAL,2013,0,4,7,58,0,0,1,0,0,0,0,3,73
Gujarat,SURAT COMMR.,2013,0,4,40,78,0,0,8,0,0,0,0,2,132
Gujarat,SURAT RURAL,2013,0,1,7,23,0,0,0,0,0,0,0,1,32
Gujarat,SURENDRANAGAR,2013,0,3,10,57,0,0,1,0,0,0,0,0,71
Gujarat,TAPI,2013,0,0,1,0,0,0,0,0,0,0,0,3,4
Gujarat,VADODARA COMMR.,2013,0,3,12,73,1,0,2,0,0,0,1,47,139
Gujarat,VADODARA RURAL,2013,0,4,12,65,0,0,1,0,0,0,0,4,86
Gujarat,VALSAD,2013,0,1,7,68,0,0,0,0,0,0,1,0,77
Gujarat,W.RLY AHMEDABAD,2013,0,2,0,6,0,0,0,0,0,0,0,0,8
Gujarat,W.RLY VADODARA,2013,0,1,1,1,0,0,5,0,0,0,0,0,8
Gujarat,TOTAL,2013,0,77,263,1429,2,0,113,0,0,2,12,178,2076
Haryana,AMBALA RURAL,2013,0,11,9,11,0,0,0,0,0,0,0,1,32
Haryana,AMBALA URBAN,2013,0,4,19,39,1,0,0,0,0,0,0,0,63
Haryana,BHIWANI,2013,0,2,23,58,0,0,0,0,0,0,0,15,98
Haryana,FARIDABAD,2013,0,5,31,41,4,0,0,0,0,0,0,13,94
Haryana,FATEHABAD,2013,0,2,10,28,3,0,0,0,0,0,0,8,51
Haryana,GRP,2013,0,1,2,3,6,0,0,0,0,0,0,0,12
Haryana,GURGAON,2013,0,8,17,184,0,0,3,0,0,0,0,0,212
Haryana,HISSAR,2013,0,6,28,77,0,0,0,0,0,0,6,0,117
Haryana,I&P HARYANA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,JHAJJAR,2013,0,3,9,33,0,1,0,0,0,0,0,8,54
Haryana,JIND,2013,0,4,12,26,0,0,0,0,0,0,0,6,48
Haryana,KAITHAL,2013,0,0,11,23,0,0,0,0,0,1,4,25,64
Haryana,KARNAL,2013,0,2,43,137,0,0,1,0,0,1,1,37,222
Haryana,KURUKSHETRA,2013,0,0,6,4,0,0,0,0,0,0,1,23,34
Haryana,MAHENDRAGARH,2013,0,4,16,4,0,0,0,0,0,0,1,17,42
Haryana,MEWAT,2013,0,1,35,15,6,0,1,0,0,0,0,0,58
Haryana,PALWAL,2013,0,0,22,32,0,0,0,0,0,0,0,1,55
Haryana,PANCHKULA,2013,0,3,5,20,0,0,0,0,0,0,0,0,28
Haryana,PANIPAT,2013,0,6,20,50,1,5,2,0,0,0,2,0,86
Haryana,REWARI,2013,0,4,18,21,0,0,0,0,0,0,0,15,58
Haryana,ROHTAK,2013,0,3,6,2,0,0,0,0,0,0,0,28,39
Haryana,SIRSA,2013,0,1,28,62,0,0,0,0,0,0,0,0,91
Haryana,SONIPAT,2013,0,2,5,6,0,0,1,0,0,0,1,7,22
Haryana,YAMUNANAGAR,2013,0,1,13,35,0,0,0,0,0,0,1,10,60
Haryana,TOTAL,2013,0,73,388,911,21,6,8,0,0,2,17,214,1640
Himachal Pradesh,BADDIPOLICEDIST,2013,0,1,3,15,1,0,0,0,0,0,0,0,20
Himachal Pradesh,BILASPUR,2013,0,0,8,21,0,0,0,0,0,0,0,4,33
Himachal Pradesh,CHAMBA,2013,0,0,10,10,0,0,0,0,0,0,0,2,22
Himachal Pradesh,CID,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,G.R.P.,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,HAMIRPUR,2013,0,0,5,9,0,0,0,0,0,0,1,4,19
Himachal Pradesh,KANGRA,2013,0,2,17,31,0,0,2,0,0,0,1,19,72
Himachal Pradesh,KINNAUR,2013,0,0,4,3,0,0,0,0,0,0,0,0,7
Himachal Pradesh,KULLU,2013,0,2,14,20,0,0,0,0,0,0,0,10,46
Himachal Pradesh,LAHAUL-SPITI,2013,0,0,1,0,0,0,0,0,0,0,0,0,1
Himachal Pradesh,MANDI,2013,0,0,19,27,0,0,1,0,0,0,0,17,64
Himachal Pradesh,SHIMLA,2013,0,0,9,25,0,0,0,0,0,0,0,10,44
Himachal Pradesh,SIRMAUR,2013,0,0,13,16,1,1,3,0,0,0,0,6,40
Himachal Pradesh,SOLAN,2013,0,0,13,9,0,0,1,1,0,0,0,5,29
Himachal Pradesh,UNA,2013,0,0,14,12,0,0,0,0,0,0,0,5,31
Himachal Pradesh,TOTAL,2013,0,5,130,198,2,1,7,1,0,0,2,82,428
Jammu & Kashmir,ANANTNAG,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,AWANTIPORA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,BANDIPORA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,BARAMULLA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,BUDGAM,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,CRIME JAMMU,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,CRIME SRINAGAR,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,DODA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,GANDERBAL,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,HANDWARA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,JAMMU,2013,0,1,0,0,0,0,0,0,0,0,0,2,3
Jammu & Kashmir,KARGIL,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,KATHUA,2013,0,2,6,11,0,0,3,0,0,0,0,6,28
Jammu & Kashmir,KISHTWAR,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,KULGAM,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,KUPWARA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,LEH,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,POONCH,2013,0,1,8,10,0,0,0,0,0,0,0,1,20
Jammu & Kashmir,PULWAMA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,RAILWAYS JAMMU,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,RAILWAYS KASHMIR,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,RAILWAYS KATRA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,RAJOURI,2013,0,4,0,0,0,0,0,0,0,0,0,0,4
Jammu & Kashmir,RAMBAN,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,REASI,2013,0,0,1,1,0,0,0,0,0,0,0,0,2
Jammu & Kashmir,SAMBA,2013,0,0,3,1,0,0,0,1,0,0,0,0,5
Jammu & Kashmir,SHOPIAN,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,SOPORE,2013,0,2,2,0,0,0,0,0,0,0,0,0,4
Jammu & Kashmir,SRINAGAR,2013,0,1,0,0,0,0,0,0,0,0,0,0,1
Jammu & Kashmir,UDHAMPUR,2013,0,0,5,3,0,0,0,0,0,0,0,0,8
Jammu & Kashmir,TOTAL,2013,0,11,25,26,0,0,3,1,0,0,0,9,75
Jharkhand,BOKARO,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,CHAIBASA,2013,0,10,12,14,4,1,0,0,0,1,1,0,43
Jharkhand,CHATRA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,DEOGHAR,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,DHANBAD,2013,0,0,0,0,0,0,0,0,0,0,0,3,3
Jharkhand,DHANBAD RLY.,2013,1,0,0,3,0,0,0,0,0,0,0,0,4
Jharkhand,DUMKA,2013,0,0,6,9,0,0,0,0,0,0,0,13,28
Jharkhand,GARHWA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,GIRIDIH,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,GODDA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,GUMLA,2013,0,0,3,21,0,0,0,7,2,4,0,0,37
Jharkhand,HAZARIBAGH,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,JAMSHEDPUR,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,JAMSHEDPUR RLY.,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,JAMTARA,2013,0,1,2,0,0,0,0,8,0,0,0,0,11
Jharkhand,KHUNTI,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,KODERMA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,LATEHAR,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,LOHARDAGGA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,PAKUR,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,PALAMU,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,RAMGARH,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,RANCHI,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,SAHEBGANJ,2013,0,0,0,1,0,0,0,2,0,0,0,0,3
Jharkhand,SARAIKELA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,SIMDEGA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,TOTAL,2013,1,11,23,48,4,1,0,17,2,5,1,16,129
Karnataka,BAGALKOT,2013,0,2,2,5,0,0,0,0,0,0,1,0,10
Karnataka,BANGALORE COMMR.,2013,0,11,34,479,0,0,26,47,0,1,3,80,681
Karnataka,BANGALORE RURAL,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,BELGAUM,2013,1,17,40,12,0,0,12,8,0,0,2,15,107
Karnataka,BELLARY,2013,0,0,0,0,0,0,0,0,0,0,1,0,1
Karnataka,BIDAR,2013,0,2,13,13,0,0,15,0,0,0,0,0,43
Karnataka,BIJAPUR,2013,0,10,19,13,0,0,0,0,0,0,1,0,43
Karnataka,CBPURA,2013,0,1,1,1,0,0,0,0,0,0,1,4,8
Karnataka,CHAMARAJNAGAR,2013,0,0,2,0,0,0,0,0,0,0,0,0,2
Karnataka,CHICKMAGALUR,2013,0,1,0,2,0,0,0,0,0,0,0,5,8
Karnataka,CHITRADURGA,2013,0,1,15,12,0,0,0,0,0,0,0,0,28
Karnataka,DAKSHIN KANNADA,2013,0,3,9,7,0,0,0,0,0,0,0,5,24
Karnataka,DAVANAGERE,2013,0,2,9,11,0,0,0,0,0,0,4,4,30
Karnataka,DHARWAD COMMR.,2013,2,1,14,37,0,0,4,0,0,0,0,1,59
Karnataka,DHARWAD RURAL,2013,0,0,0,0,0,0,0,0,0,0,1,1,2
Karnataka,GADAG,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,GULBARGA,2013,0,0,0,0,0,0,0,16,0,0,1,1,18
Karnataka,HASSAN,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,HAVERI,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,K.G.F.,2013,0,0,18,2,0,0,0,0,0,0,0,1,21
Karnataka,KODAGU,2013,0,0,13,14,0,0,0,0,0,0,0,0,27
Karnataka,KOLAR,2013,0,0,11,4,0,0,0,0,0,0,1,0,16
Karnataka,KOPPAL,2013,0,0,0,0,0,0,0,0,0,0,5,0,5
Karnataka,MANDYA,2013,0,2,17,20,0,0,0,0,0,0,0,6,45
Karnataka,MANGALORE CITY,2013,0,1,7,0,0,0,1,0,0,0,0,14,23
Karnataka,MYSORE COMMR.,2013,0,1,9,12,0,0,0,0,0,0,0,0,22
Karnataka,MYSORE RURAL,2013,0,2,0,0,0,0,0,0,0,0,0,0,2
Karnataka,RAICHUR,2013,0,0,0,0,0,0,0,0,0,0,1,0,1
Karnataka,RAILWAYS,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,RAMANAGAR,2013,0,0,0,0,0,0,0,0,0,0,1,0,1
Karnataka,SHIMOGA,2013,0,5,34,43,0,0,0,0,0,0,2,8,92
Karnataka,TUMKUR,2013,1,0,0,0,0,0,0,0,0,0,1,1,3
Karnataka,UDUPI,2013,0,1,3,13,0,0,0,0,0,0,0,13,30
Karnataka,UTTAR KANNADA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,YADGIRI,2013,0,1,0,0,0,0,0,0,0,0,0,0,1
Karnataka,TOTAL,2013,4,64,270,700,0,0,58,71,0,1,26,159,1353
Kerala,ALAPUZHA,2013,0,0,28,6,0,3,0,0,0,0,1,73,111
Kerala,ERNAKULAM COMMR.,2013,0,0,22,6,0,0,0,0,0,0,0,43,71
Kerala,ERNAKULAM RURAL,2013,0,2,35,4,0,0,0,1,0,0,1,75,118
Kerala,IDUKKI,2013,0,5,40,2,0,0,0,0,0,0,0,58,105
Kerala,KANNUR,2013,0,4,28,7,0,0,0,3,0,0,1,56,99
Kerala,KASARGOD,2013,0,1,36,2,0,0,0,2,0,0,0,93,134
Kerala,KOLLAM COMMR.,2013,0,2,33,11,0,1,0,0,0,0,1,24,72
Kerala,KOLLAM RURAL,2013,0,2,51,6,0,1,1,0,0,0,0,25,86
Kerala,KOTTAYAM,2013,0,1,24,9,0,0,0,0,0,0,0,34,68
Kerala,KOZHIKODE COMMR.,2013,0,4,12,7,0,0,0,1,0,0,2,47,73
Kerala,KOZHIKODE RURAL,2013,0,0,27,14,0,2,0,2,0,0,0,58,103
Kerala,MALAPPURAM,2013,0,3,40,6,0,0,1,0,0,0,1,91,142
Kerala,PALAKKAD,2013,0,3,50,12,0,2,1,0,0,0,2,34,104
Kerala,PATHANAMTHITTA,2013,0,2,26,4,0,0,0,0,0,0,0,34,66
Kerala,RAILWAYS,2013,0,0,0,1,0,0,1,0,0,0,0,6,8
Kerala,THRISSUR COMMR.,2013,0,1,16,1,0,0,0,0,0,0,0,31,49
Kerala,THRISSUR RURAL,2013,0,3,31,7,0,0,0,3,0,0,2,70,116
Kerala,TRIVANDRUM COMMR.,2013,0,1,38,4,0,0,0,3,0,0,0,44,90
Kerala,TRIVANDRUM RURAL,2013,0,5,80,22,1,0,0,0,0,0,0,82,190
Kerala,WAYANADU,2013,0,1,20,5,0,0,0,0,0,0,0,46,72
Kerala,TOTAL,2013,0,40,637,136,1,9,4,15,0,0,11,1024,1877
Madhya Pradesh,AGAR,2013,0,0,24,18,0,1,0,0,0,0,0,0,43
Madhya Pradesh,ALIRAJPUR,2013,0,0,14,0,0,0,0,0,0,0,0,0,14
Madhya Pradesh,ANUPPUR,2013,0,0,39,33,1,0,0,0,0,0,1,38,112
Madhya Pradesh,ASHOK NAGAR,2013,0,3,42,24,0,0,3,0,0,0,1,58,131
Madhya Pradesh,BALAGHAT,2013,0,5,53,4,2,0,4,0,0,0,0,92,160
Madhya Pradesh,BARWANI,2013,0,1,18,3,2,0,0,0,0,0,0,0,24
Madhya Pradesh,BETUL,2013,3,3,52,74,1,0,0,0,0,0,0,75,208
Madhya Pradesh,BHIND,2013,0,1,1,1,0,0,0,0,0,0,0,6,9
Madhya Pradesh,BHOPAL,2013,0,8,96,52,0,0,0,0,0,0,0,54,210
Madhya Pradesh,BHOPAL RLY.,2013,0,0,1,3,0,0,5,0,0,0,0,4,13
Madhya Pradesh,BURHANPUR,2013,0,0,1,1,1,0,4,0,0,0,0,0,7
Madhya Pradesh,CHHATARPUR,2013,0,1,31,8,0,0,0,0,0,0,0,125,165
Madhya Pradesh,CHHINDWARA,2013,0,4,68,171,0,0,0,0,0,0,1,210,454
Madhya Pradesh,DAMOH,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,DATIYA,2013,0,4,10,19,6,0,0,0,0,0,0,49,88
Madhya Pradesh,DEWAS,2013,0,1,29,3,0,0,0,0,0,0,1,91,125
Madhya Pradesh,DHAR,2013,0,2,53,163,0,0,0,0,0,0,0,2,220
Madhya Pradesh,DINDORI,2013,0,1,47,14,5,0,0,0,0,0,0,48,115
Madhya Pradesh,GUNA,2013,0,5,48,19,1,0,0,0,0,0,0,63,136
Madhya Pradesh,GWALIOR,2013,0,12,87,51,0,1,13,0,0,0,0,220,384
Madhya Pradesh,HARDA,2013,0,0,15,3,0,1,0,0,0,0,0,12,31
Madhya Pradesh,HOSHANGABAD,2013,0,1,45,87,0,0,0,0,0,0,0,21,154
Madhya Pradesh,INDORE,2013,0,4,128,367,5,0,22,0,0,0,0,219,745
Madhya Pradesh,INDORE RLY.,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,JABALPUR,2013,1,5,61,105,7,0,0,0,0,0,0,208,387
Madhya Pradesh,JABALPUR RLY.,2013,0,0,1,1,0,0,3,0,0,0,0,0,5
Madhya Pradesh,JHABUA,2013,0,0,20,63,0,0,0,0,0,0,0,0,83
Madhya Pradesh,KATNI,2013,0,1,32,33,4,2,0,0,0,0,0,5,77
Madhya Pradesh,KHANDWA,2013,0,3,68,97,0,0,0,0,0,0,1,33,202
Madhya Pradesh,KHARGON,2013,0,0,46,1,0,0,0,0,0,0,0,9,56
Madhya Pradesh,MANDLA,2013,1,4,61,11,0,0,0,0,0,0,0,0,77
Madhya Pradesh,MANDSAUR,2013,0,2,30,21,0,0,0,0,0,0,0,55,108
Madhya Pradesh,MORENA,2013,0,1,10,16,0,0,15,0,0,0,1,3,46
Madhya Pradesh,NARSINGHPUR,2013,0,2,45,51,0,2,2,0,0,0,0,89,191
Madhya Pradesh,NEEMUCH,2013,0,1,34,40,1,0,0,0,0,3,0,2,81
Madhya Pradesh,PANNA,2013,0,0,29,12,0,0,0,0,0,0,0,16,57
Madhya Pradesh,RAISEN,2013,0,0,56,13,0,0,0,0,0,0,0,68,137
Madhya Pradesh,RAJGARH,2013,0,0,30,32,0,0,0,0,0,0,0,138,200
Madhya Pradesh,RATLAM,2013,1,2,48,51,4,0,3,0,0,0,0,65,174
Madhya Pradesh,REWA,2013,0,4,58,20,0,0,23,0,0,0,0,159,264
Madhya Pradesh,SAGAR,2013,0,1,32,17,16,0,0,0,0,0,0,289,355
Madhya Pradesh,SATNA,2013,0,8,79,4,0,4,10,21,0,0,0,110,236
Madhya Pradesh,SEONI,2013,0,2,47,44,5,0,0,0,0,0,0,74,172
Madhya Pradesh,SHAHDOL,2013,1,3,49,96,0,0,0,0,0,0,0,118,267
Madhya Pradesh,SHAJAPUR,2013,0,1,29,18,0,1,0,0,0,0,0,40,89
Madhya Pradesh,SHEOPUR,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,SHIVPURI,2013,0,5,33,25,1,0,1,0,0,0,0,0,65
Madhya Pradesh,SIDHI,2013,0,0,30,61,0,0,10,0,0,0,0,11,112
Madhya Pradesh,SIHORE,2013,0,3,45,36,4,0,0,0,0,0,0,66,154
Madhya Pradesh,SINGRAULI,2013,0,1,17,79,2,2,0,0,0,0,0,60,161
Madhya Pradesh,TIKAMGARH,2013,1,2,46,32,0,0,6,0,0,0,0,101,188
Madhya Pradesh,UJJAIN,2013,0,3,77,32,0,0,0,0,0,0,0,150,262
Madhya Pradesh,UMARIYA,2013,0,1,15,28,0,0,0,0,0,0,0,24,68
Madhya Pradesh,VIDISHA,2013,0,3,82,105,11,2,0,0,0,0,0,222,425
Madhya Pradesh,TOTAL,2013,8,114,2112,2262,79,16,124,21,0,3,6,3502,8247
Maharashtra,AHMEDNAGAR,2013,0,6,59,30,1,3,0,0,0,0,0,60,159
Maharashtra,AKOLA,2013,0,3,29,24,0,0,12,0,0,0,0,63,131
Maharashtra,AMRAVATI COMMR.,2013,0,2,14,22,0,1,0,0,0,0,0,64,103
Maharashtra,AMRAVATI RURAL,2013,0,3,49,36,0,0,1,0,0,0,0,126,215
