area_name,year,epc_cases_cases_acquitted,epc_cases_cases_convicted,epc_cases_cases_pending_for_trial,epc_cases_registered,epc_cases_trial_completed,epc_escapees_re_arrested_from_lockup,epc_escapees_re_arrested_from_others,epc_fr_submitted,epc_persons_awarded_more_than_3_years_imprisonment,epc_persons_awarded_upto_3_years_imprisonment,epc_persons_cases_acquitted,epc_persons_cases_convicted,epc_persons_cases_pending_for_trial,epc_persons_chargesheeted_for_escape,epc_persons_escaped,epc_persons_escaped_from_lockup,epc_persons_escaped_outside_the_lockup,epc_persons_escaped_total,epc_persons_trial_completed
Assam,2001,19,7,9,35,26,3,24,10,0,0,3,3,6,29,35,14,21,35,6
Madhya Pradesh,2002,4,7,106,125,11,50,114,28,0,1,5,7,124,111,203,58,145,203,12
Assam,2009,6,7,109,44,13,0,0,0,0,0,11,9,0,4,56,7,49,56,20
Madhya Pradesh,2009,0,7,114,140,7,29,114,121,5,3,0,8,136,144,168,36,132,168,8
Maharashtra,2009,15,7,583,98,22,4,62,8,0,8,18,8,999,45,103,10,93,103,26
Tamil Nadu,2009,0,7,22,39,7,8,23,29,0,7,0,7,22,29,39,8,31,39,7
Tamil Nadu,2010,1,7,25,44,8,8,29,28,0,8,1,7,27,30,48,8,40,48,8
Maharashtra,2001,8,6,134,94,14,37,50,10,1,5,10,6,156,84,125,42,83,125,16
Mizoram,2001,0,6,6,14,6,4,7,1,3,1,0,6,6,12,14,4,10,14,6
Assam,2002,9,6,14,29,15,1,8,0,0,6,5,1,3,15,29,1,28,29,6
Haryana,2003,3,6,20,29,9,18,17,16,21,22,26,17,86,59,42,18,24,42,43
Uttar Pradesh,2003,3,6,68,134,9,21,66,3,3,5,4,8,85,124,150,54,96,150,12
Andhra Pradesh,2005,0,6,51,89,6,13,46,8,3,9,0,11,52,63,101,4,97,101,11
Haryana,2005,7,6,73,41,13,7,35,14,1,5,16,9,175,44,59,3,56,59,25
Andhra Pradesh,2006,2,6,59,113,8,11,66,2,0,6,3,6,59,69,121,22,99,121,9
Himachal Pradesh,2006,3,6,16,12,9,1,10,6,0,4,3,6,16,30,10,0,10,10,9
Andhra Pradesh,2008,1,6,40,77,7,6,54,14,1,4,1,6,41,41,92,5,87,92,7
Assam,2008,6,6,117,37,12,0,44,3,0,0,17,7,140,12,47,4,43,47,24
Kerala,2008,1,6,28,54,7,8,34,35,,6,1,6,35,42,64,8,56,64,7
Kerala,2001,4,5,24,54,9,37,8,6,,5,2,5,33,39,63,7,56,63,7
Nagaland,2001,0,5,1,3,5,1,0,0,0,0,0,5,2,2,4,0,4,4,5
Tamil Nadu,2001,7,5,29,75,12,2,55,18,0,8,6,7,44,41,86,3,83,86,13
Maharashtra,2005,3,5,174,140,8,17,88,102,1,5,3,6,210,101,158,23,135,158,9
Himachal Pradesh,2007,1,5,15,17,6,0,15,12,0,3,11,17,16,13,19,0,19,19,28
Maharashtra,2007,12,5,602,127,17,31,93,18,0,6,13,6,1081,86,155,52,103,155,19
Madhya Pradesh,2008,0,5,99,115,5,34,77,30,0,6,0,5,113,103,144,39,105,144,5
Punjab,2008,,5,43,73,5,5,49,28,,1,,5,54,40,83,6,77,83,5
Andhra Pradesh,2001,7,4,37,58,11,22,26,5,0,3,7,4,37,48,71,30,41,71,11
Goa,2001,,4,2,8,4,,8,,,5,,5,2,7,9,,9,9,5
Madhya Pradesh,2001,44,4,,127,48,16,97,17,8,2,53,7,,131,143,16,127,143,60
Andhra Pradesh,2002,2,4,39,80,6,15,42,6,0,3,2,4,43,48,88,24,64,88,6
Haryana,2002,5,4,92,45,9,11,25,19,26,2,14,5,181,43,53,15,38,53,19
Maharashtra,2002,5,4,136,101,9,33,59,18,1,3,5,4,186,89,142,65,77,142,9
Punjab,2002,3,4,36,69,7,18,33,25,0,4,5,4,61,50,88,23,65,88,9
Haryana,2004,4,4,73,32,8,15,14,17,,,31,6,147,32,39,10,29,39,37
Himachal Pradesh,2004,4,4,17,19,8,1,13,9,0,4,5,4,29,21,25,2,23,25,9
Maharashtra,2004,1,4,170,117,5,16,87,97,0,4,1,4,193,102,134,17,117,134,5
Mizoram,2004,0,4,2,8,4,3,11,0,0,0,0,10,0,14,14,1,13,14,10
Odisha,2004,0,4,30,54,4,26,18,22,3,1,0,4,38,34,59,22,37,59,4
Kerala,2005,,4,28,51,4,3,34,7,2,2,,4,29,32,53,2,51,53,4
Karnataka,2006,0,4,8,30,4,1,20,6,1,3,0,5,16,23,40,3,37,40,5
Maharashtra,2006,11,4,316,116,15,28,81,88,0,5,19,5,352,111,149,26,123,149,24
Kerala,2007,0,4,28,43,4,4,30,32,2,2,0,4,30,34,47,4,43,47,4
Himachal Pradesh,2008,1,4,17,13,5,6,4,4,0,1,1,4,0,6,13,0,13,13,5
Mizoram,2008,0,4,3,7,4,2,7,0,3,2,0,4,5,9,9,2,7,9,4
Chhattisgarh,2009,1,4,12,30,5,11,16,11,0,0,1,4,16,21,26,3,23,26,5
Haryana,2009,8,4,40,29,12,6,15,8,0,3,24,5,99,20,31,5,26,31,29
Kerala,2009,0,4,46,56,4,6,47,50,0,4,0,4,49,53,60,6,54,60,4
Punjab,2009,3,4,44,67,7,7,31,21,6,7,3,7,50,30,72,10,62,72,10
Kerala,2010,0,4,46,66,4,1,60,7,0,4,0,4,49,47,72,3,69,72,4
Meghalaya,2001,0,3,4,2,3,1,0,0,0,0,0,3,0,0,8,1,7,8,3
Uttar Pradesh,2001,6,3,72,124,9,22,70,6,,,7,3,80,106,155,31,124,155,10
Chhattisgarh,2002,4,3,23,35,7,10,57,10,0,0,4,3,53,57,61,11,50,61,7
Rajasthan,2002,,3,61,80,3,5,64,4,,3,,3,66,69,88,6,82,88,3
Uttar Pradesh,2002,1,3,80,157,4,15,105,6,,,1,3,80,112,237,18,219,237,4
Assam,2003,6,3,15,24,9,1,8,0,0,3,3,2,4,10,24,10,14,24,5
Chhattisgarh,2003,3,3,18,50,6,12,33,17,0,0,3,3,19,34,42,1,41,42,6
Chhattisgarh,2005,9,3,17,46,12,9,28,8,0,4,9,3,31,42,42,7,35,42,12
Karnataka,2005,0,3,10,29,3,1,14,6,1,2,0,3,11,13,31,3,28,31,3
Madhya Pradesh,2005,12,3,107,147,15,33,97,32,0,8,12,3,107,122,177,33,144,177,15
Bihar,2006,2,3,26,71,5,18,19,14,,9,2,5,37,45,91,25,66,91,7
Madhya Pradesh,2007,4,3,139,166,7,65,102,47,8,11,6,3,162,173,214,68,146,214,9
Gujarat,2008,0,3,34,58,3,5,32,10,1,2,0,3,40,44,69,5,64,69,3
Odisha,2008,3,3,28,54,6,13,26,6,0,0,4,3,28,17,59,15,44,59,7
Sikkim,2008,0,3,0,3,3,0,3,,,,0,3,,,3,3,,3,3
Tripura,2009,,3,,3,3,0,3,,,3,,3,,3,3,,3,3,3
West Bengal,2009,0,3,6,33,3,7,11,9,2,5,0,3,4,10,42,9,33,42,3
Himachal Pradesh,2010,2,3,45,14,5,6,12,9,1,2,2,3,55,10,15,0,15,15,5
Madhya Pradesh,2010,,3,123,129,3,21,119,126,0,3,,3,137,140,157,15,142,157,3
Punjab,2010,7,3,24,45,10,8,13,10,5,4,8,3,27,15,53,20,33,53,11
Chhattisgarh,2001,0,2,28,42,2,6,28,25,0,0,0,2,32,36,40,3,37,40,2
Delhi,2002,,2,4,14,2,,12,6,1,1,,2,4,8,14,,14,14,2
Meghalaya,2002,0,2,5,5,2,3,0,5,0,0,0,6,20,6,6,4,2,6,6
Tamil Nadu,2002,0,2,0,73,2,4,56,2,0,4,0,4,0,58,80,5,75,80,4
Himachal Pradesh,2003,0,2,16,9,2,2,5,3,1,1,1,4,23,8,9,1,8,9,5
Mizoram,2003,,2,1,3,2,1,3,,,,,3,1,4,4,1,3,4,3
Punjab,2003,0,2,34,88,2,11,52,34,0,1,0,2,51,56,109,14,95,109,2
Rajasthan,2003,,2,56,77,2,15,53,3,,2,,2,66,68,97,18,79,97,2
West Bengal,2004,0,2,16,27,2,3,11,2,0,2,0,2,16,18,30,5,25,30,2
Goa,2005,0,2,1,3,2,1,2,,,2,0,2,1,3,3,1,2,3,2
Himachal Pradesh,2005,2,2,2,15,4,9,4,10,0,2,2,2,2,10,15,1,14,15,4
Uttar Pradesh,2005,0,2,56,77,2,4,54,0,0,2,0,2,56,58,86,6,80,86,2
Kerala,2006,2,2,34,43,4,5,26,2,,2,2,2,34,38,44,5,39,44,4
West Bengal,2006,3,2,16,28,5,5,20,4,0,2,3,2,17,22,29,5,24,29,5
Chandigarh,2007,0,2,0,2,2,4,1,2,0,0,0,5,0,5,5,4,1,5,5
Gujarat,2007,0,2,29,70,2,14,30,16,0,3,0,2,38,62,84,36,48,84,2
Punjab,2007,7,2,43,80,9,16,37,38,,1,10,3,41,62,102,23,79,102,13
Rajasthan,2007,,2,86,140,2,24,116,9,,1,,2,138,140,206,50,156,206,2
West Bengal,2007,1,2,15,31,3,2,22,10,0,2,1,2,12,18,35,5,30,35,3
West Bengal,2008,1,2,22,39,3,8,30,17,0,4,1,4,19,24,44,10,34,44,5
Jharkhand,2009,,2,19,14,2,4,3,0,,,,2,15,12,14,5,9,14,2
Goa,2010,,2,1,2,2,0,1,0,0,2,,2,1,1,2,0,2,2,2
Haryana,2010,5,2,43,25,7,7,13,15,0,1,13,2,90,20,43,5,38,43,15
Delhi,2001,,1,8,16,1,16,8,8,1,1,,1,8,9,16,8,8,16,1
Gujarat,2001,0,1,64,70,1,111,56,24,0,8,0,1,74,65,271,185,86,271,1
Karnataka,2001,0,1,9,13,1,4,5,3,0,0,0,1,9,9,13,5,8,13,1
Odisha,2001,1,1,48,57,2,13,32,1,1,0,1,1,51,46,66,21,45,66,2
Punjab,2001,1,1,12,40,2,6,21,10,0,1,1,1,18,12,45,8,37,45,2
Rajasthan,2001,,1,50,70,1,9,55,9,2,,,2,62,64,82,9,73,82,2
Uttarakhand,2001,,1,5,9,1,,3,,0,1,,1,5,6,9,1,8,9,1
Bihar,2002,3,1,28,134,4,23,25,2,1,0,3,1,48,87,200,97,103,200,4
Goa,2002,,1,,2,1,,1,,,1,,1,,1,2,,2,2,1
Gujarat,2002,1,1,32,53,2,9,32,12,0,3,1,1,32,40,58,8,50,58,2
Himachal Pradesh,2002,0,1,5,13,1,3,5,7,0,1,0,1,6,6,14,3,11,14,1
Puducherry,2002,,1,,1,1,,1,,,1,,1,,1,1,1,,1,1
West Bengal,2002,0,1,16,21,1,4,9,4,0,1,0,1,16,13,23,5,18,23,1
Bihar,2003,4,1,25,120,5,28,38,3,1,2,6,1,40,70,167,58,109,167,7
Gujarat,2003,1,1,35,64,2,18,36,19,1,10,3,1,42,51,80,28,52,80,4
Odisha,2003,0,1,17,52,1,18,32,8,0,0,236,53,9114,55,78,23,55,78,289
West Bengal,2003,0,1,12,14,1,2,11,1,0,1,0,1,12,12,14,3,11,14,1
Karnataka,2004,1,1,7,18,2,3,8,9,0,1,1,1,9,11,21,3,18,21,2
Kerala,2004,5,1,25,45,6,5,28,10,,1,5,1,26,31,46,6,40,46,6
Punjab,2004,2,1,33,80,3,9,31,23,0,0,2,1,37,35,86,11,75,86,3
Bihar,2005,5,1,9,96,6,15,17,15,0,0,8,4,9,23,118,23,95,118,12
Punjab,2005,0,1,36,82,1,8,36,34,0,6,0,4,42,47,91,11,80,91,4
Rajasthan,2005,,1,75,89,1,17,72,5,,,,1,88,89,104,19,85,104,1
West Bengal,2005,0,1,30,59,1,5,29,0,0,1,0,1,30,35,67,6,61,67,1
Chandigarh,2006,0,1,2,3,1,2,2,3,0,2,0,2,2,4,4,2,2,4,2
Goa,2006,,1,3,6,1,,4,1,,1,,1,3,4,6,,6,6,1
Meghalaya,2006,0,1,5,9,1,0,3,3,0,0,0,0,3,6,11,3,8,11,0
Rajasthan,2006,,1,86,99,1,14,73,2,,,,1,86,87,109,16,93,109,1
Odisha,2007,2,1,16,43,3,14,10,9,0,1,2,1,16,8,47,24,23,47,3
Delhi,2008,0,1,6,8,1,0,11,7,0,1,0,1,10,11,13,0,13,13,1
Goa,2008,,1,5,6,1,,5,,,1,,1,5,4,6,,6,6,1
Karnataka,2008,0,1,15,20,1,3,23,8,0,1,0,1,26,27,35,1,34,35,1
Rajasthan,2008,,1,99,126,1,9,105,4,,1,,1,113,114,142,9,133,142,1
Bihar,2009,0,1,11,72,1,23,31,9,0,0,0,1,14,53,83,24,59,83,1
Delhi,2009,,1,7,14,1,0,12,8,,1,,1,11,12,16,,16,16,1
Karnataka,2009,0,1,11,23,1,4,14,3,0,1,0,1,14,18,35,4,31,35,1
Jharkhand,2010,0,1,12,24,1,7,7,4,0,0,0,1,8,7,29,14,15,29,1
Karnataka,2010,0,1,12,26,1,1,16,9,0,1,0,1,15,14,25,2,23,25,1
Mizoram,2010,0,1,2,3,1,0,3,1,0,1,0,1,2,2,3,0,3,3,1
Sikkim,2010,,1,,4,1,5,2,3,0,0,,1,,11,11,9,2,11,1
West Bengal,2010,1,1,3,32,2,0,5,9,1,1,1,1,3,5,38,3,35,38,2
Arunachal Pradesh,2001,0,0,0,11,0,4,1,0,0,0,0,0,0,5,18,14,4,18,0
Bihar,2001,3,0,51,104,3,24,31,6,0,0,3,0,40,95,133,34,99,133,3
Chandigarh,2001,0,0,2,4,0,0,4,0,0,0,0,0,2,2,5,0,5,5,0
Jammu & Kashmir,2001,0,0,9,13,0,5,3,7,0,0,0,0,9,9,14,6,8,14,0
Jharkhand,2001,2,0,13,40,2,24,15,7,0,0,2,0,21,39,75,40,35,75,2
West Bengal,2001,1,0,22,35,1,8,2,3,0,0,1,0,25,26,38,5,33,38,1
Chandigarh,2002,0,0,1,2,0,0,2,0,0,0,0,0,1,2,2,0,2,2,0
Daman & Diu,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2002,0,0,17,21,0,5,28,6,0,0,0,0,29,28,36,2,34,36,0
Nagaland,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2002,0,0,44,61,0,12,41,4,0,0,0,0,44,44,74,20,54,74,0
Arunachal Pradesh,2003,0,0,0,8,0,14,1,0,0,0,0,0,0,0,25,23,2,25,0
Chandigarh,2003,1,0,5,5,1,0,3,0,0,0,1,0,8,1,5,0,5,5,1
Daman & Diu,2003,0,0,1,2,0,0,1,0,0,0,0,0,1,1,2,0,2,2,0
Delhi,2003,1,0,0,25,1,0,21,14,0,0,1,0,0,19,26,1,25,26,1
Jammu & Kashmir,2003,0,0,8,5,0,1,3,4,0,0,0,0,12,8,5,2,3,5,0
Jharkhand,2003,0,0,7,15,0,1,7,2,0,0,0,0,8,10,17,2,15,17,0
Karnataka,2003,0,0,11,15,0,1,13,10,0,0,0,0,14,10,19,1,18,19,0
Meghalaya,2003,0,0,3,4,0,0,1,1,0,0,0,0,3,3,9,1,8,9,0
Nagaland,2003,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2003,0,0,9,13,0,0,6,4,,0,0,0,9,9,13,0,13,13,0
Arunachal Pradesh,2004,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,6,2,8,0
Bihar,2004,4,0,10,112,4,25,21,4,0,0,4,0,11,47,156,52,104,156,4
Chandigarh,2004,0,0,6,6,0,2,5,0,0,0,0,0,7,7,7,2,5,7,0
Gujarat,2004,1,0,51,73,1,9,39,18,0,0,2,0,92,58,88,14,74,88,2
Manipur,2004,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0
Meghalaya,2004,0,0,3,8,0,1,1,0,0,0,0,0,0,3,8,1,7,8,0
Nagaland,2004,0,0,1,1,0,0,5,27,0,0,0,0,6,1,6,0,6,6,0
Uttarakhand,2004,0,0,9,9,0,3,6,0,0,0,0,0,10,10,10,3,7,10,0
Arunachal Pradesh,2005,0,0,0,3,0,0,1,0,0,0,0,0,0,0,4,4,0,4,0
Chandigarh,2005,0,0,4,5,0,0,5,4,0,0,0,0,4,4,5,0,5,5,0
Gujarat,2005,0,0,44,71,0,10,36,16,0,0,0,0,73,50,76,5,71,76,0
Jammu & Kashmir,2005,0,0,7,12,0,4,6,6,0,0,0,0,7,7,13,7,6,13,0
Manipur,2005,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0
Meghalaya,2005,0,0,1,7,0,2,1,2,0,0,0,0,1,1,7,0,7,7,0
Mizoram,2005,0,0,1,1,0,5,0,0,0,0,0,0,5,0,5,5,0,5,0
Nagaland,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2005,0,0,25,47,0,8,17,0,0,0,0,0,25,27,47,15,32,47,0
Arunachal Pradesh,2006,0,0,1,2,0,1,1,0,0,0,0,0,0,1,5,4,1,5,0
Chhattisgarh,2006,5,0,28,42,5,3,37,8,0,3,5,0,31,32,43,5,38,43,5
Gujarat,2006,0,0,37,73,0,8,42,10,0,1,0,0,38,38,80,9,71,80,0
Jammu & Kashmir,2006,0,0,0,4,0,0,1,0,0,0,0,0,0,0,4,0,4,4,0
Jharkhand,2006,0,0,8,16,0,7,6,3,4,0,0,0,4,15,13,9,4,13,0
Manipur,2006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0
Mizoram,2006,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0
Nagaland,2006,0,0,4,1,0,0,0,0,0,0,0,0,4,4,1,0,1,1,0
Odisha,2006,0,0,24,108,0,16,9,9,0,0,0,0,24,24,50,18,32,50,0
Punjab,2006,0,0,15,67,0,9,35,15,,,0,0,36,36,74,11,63,74,0
Uttar Pradesh,2006,0,0,40,117,0,1,39,3,0,0,0,0,40,40,126,4,122,126,0
Arunachal Pradesh,2007,0,0,0,7,0,2,0,0,0,0,0,0,1,1,9,9,0,9,0
Bihar,2007,1,0,41,77,1,8,36,7,0,6,1,0,46,49,86,14,72,86,1
Chhattisgarh,2007,1,0,13,34,1,5,27,11,0,4,1,0,20,23,35,8,27,35,1
Haryana,2007,7,0,60,29,7,20,14,11,1,,26,0,137,46,46,24,22,46,26
Jammu & Kashmir,2007,1,0,1,7,1,2,1,3,0,0,1,0,2,4,8,5,3,8,1
Karnataka,2007,1,0,15,34,1,2,19,7,0,2,1,0,16,21,38,2,36,38,1
Manipur,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2007,0,0,1,2,0,0,3,0,0,0,0,0,1,4,2,2,0,2,0
Nagaland,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2007,0,0,1,3,0,3,,1,,,0,0,1,1,3,,3,3,0
Arunachal Pradesh,2008,0,0,0,3,0,1,2,0,0,0,0,0,0,3,4,4,0,4,0
Bihar,2008,0,0,8,52,0,6,24,0,0,0,0,0,8,33,58,7,51,58,0
Chandigarh,2008,0,0,1,2,0,0,1,0,0,0,0,0,1,0,2,0,2,2,0
Chhattisgarh,2008,1,0,8,18,1,0,12,4,0,1,1,0,12,11,12,7,5,12,1
Haryana,2008,0,0,7,11,0,1,7,1,0,0,0,0,15,6,16,3,13,16,0
Jammu & Kashmir,2008,0,0,0,9,0,6,1,2,0,0,0,0,0,7,10,5,5,10,0
Manipur,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2008,0,0,2,5,0,3,1,3,0,0,0,0,1,4,5,1,4,5,0
Nagaland,2008,0,0,2,2,0,2,4,0,0,1,0,0,0,0,4,2,2,4,0
Arunachal Pradesh,2009,0,0,0,3,0,7,0,0,0,0,0,0,0,1,8,8,0,8,0
Chandigarh,2009,0,0,1,5,0,0,4,1,0,0,0,0,1,1,5,0,5,5,0
Gujarat,2009,0,0,26,49,0,9,30,8,0,4,0,0,31,39,55,13,42,55,0
Himachal Pradesh,2009,0,0,31,9,0,2,11,6,0,0,0,0,17,8,12,5,7,12,0
Jammu & Kashmir,2009,1,0,2,7,1,3,4,2,0,0,1,0,2,4,7,3,4,7,1
Manipur,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2009,0,0,2,4,0,1,2,0,0,0,0,0,2,2,4,0,4,4,0
Odisha,2009,0,0,0,55,0,11,21,6,0,0,0,0,31,31,59,13,46,59,0
Arunachal Pradesh,2010,0,0,5,7,0,1,0,0,0,0,0,0,7,5,9,8,1,9,0
Chhattisgarh,2010,4,0,5,24,4,6,15,6,0,1,4,0,7,17,29,22,7,29,4
Gujarat,2010,0,0,43,63,0,11,34,13,0,0,0,0,67,67,69,21,48,69,0
Jammu & Kashmir,2010,0,0,2,3,0,1,1,1,0,0,0,0,3,2,3,1,2,3,0
Maharashtra,2010,12,0,626,121,12,17,83,64,0,0,12,0,1046,82,151,26,125,151,12
Manipur,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2010,0,0,6,7,0,9,1,0,0,0,0,0,1,11,12,10,2,12,0
Nagaland,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
Odisha,2010,0,0,7,37,0,16,26,7,0,0,0,0,24,24,47,8,39,47,0
Andaman & Nicobar Islands,2001,,,2,2,,,2,,,,,,2,2,2,,2,2,
Manipur,2001,,,,2,,0,,1,,,,,,,2,1,1,2,
Tripura,2001,,,,2,,,4,,,,,,,,12,11,1,12,
Arunachal Pradesh,2002,,,,6,,1,,1,,,,,,2,11,1,10,11,
Jammu & Kashmir,2002,,,5,6,,1,2,1,,,,,5,2,7,2,5,7,
Jharkhand,2002,,,2,22,,13,7,8,,,,,,6,39,34,5,39,
Kerala,2002,2,,17,33,2,,23,4,2,4,2,,13,19,37,1,36,37,2
Manipur,2002,,,,2,,1,,,,,,,,,2,1,1,2,
Mizoram,2002,,,3,3,,1,,,,,,,,,3,2,1,3,
Tripura,2002,,,,1,,,1,,,,,,,1,1,,1,1,
Uttarakhand,2002,,,,11,,0,9,1,,,,,,9,12,1,11,12,
Dadra & Nagar Haveli,2003,,,,2,,,,,,,,,,,2,,2,2,
Goa,2003,,,1,1,,,1,,,,,,1,1,1,,1,1,
Kerala,2003,2,,14,36,2,6,14,4,,6,2,,19,16,36,1,35,36,2
Sikkim,2003,,,,,,2,,,,,,,,,3,,3,3,
Tripura,2003,,,,1,,,2,,,,,,,1,2,,2,2,
Delhi,2004,,,12,31,0,2,24,24,,,,,12,24,31,3,28,31,0
Goa,2004,,,2,5,,,4,1,,,,,2,2,5,,5,5,
Jammu & Kashmir,2004,,,5,7,,4,4,5,,,,,8,8,10,3,7,10,
Sikkim,2004,,,,1,,,,,,,,,,,1,0,1,1,
Tripura,2004,,,,9,,2,5,6,,,,,,7,9,3,6,9,
Delhi,2005,,,14,18,0,13,12,14,,,,,0,14,29,14,15,29,0
Puducherry,2005,,,1,1,,,1,,,,,,1,1,1,,1,1,
Sikkim,2005,,,,8,,6,6,,6,8,,,,,8,,8,8,
Tripura,2005,,,8,8,,1,,,,,,,9,9,9,2,7,9,
Uttarakhand,2005,,,3,5,0,4,4,,,,,,8,8,11,6,5,11,
Andaman & Nicobar Islands,2006,,,5,5,,5,1,0,,,,,6,5,6,5,1,6,0
Dadra & Nagar Haveli,2006,,,,2,,2,0,,,,,,,,2,0,2,2,
Delhi,2006,,,16,27,,14,1,13,,1,,,16,16,27,1,26,27,
Puducherry,2006,,,1,2,,,1,1,,,,,1,1,2,0,2,2,
Sikkim,2006,,,,4,,2,2,,,,,,,,4,2,2,4,
Tripura,2006,,,6,9,,1,2,,,,,,31,31,37,31,6,37,
Uttarakhand,2006,,,,8,,12,,1,,,,,,,12,0,12,12,
Andaman & Nicobar Islands,2007,,,3,3,,4,,0,,,,,4,4,4,4,0,4,0
Delhi,2007,,,8,22,0,4,15,8,0,0,,,8,8,22,6,16,22,0
Goa,2007,,,2,2,,,2,,,,,,2,2,2,,2,2,
Jharkhand,2007,1,,6,19,1,2,8,0,,,1,,1,14,22,7,15,22,1
Tripura,2007,,,5,6,,3,,1,,,,,5,5,6,6,0,6,
Andaman & Nicobar Islands,2008,,,1,1,,0,1,,,,,,1,1,1,,1,1,0
Jharkhand,2008,,,11,29,,9,7,1,2,,,,17,23,48,27,21,48,
Tripura,2008,,,5,6,,1,4,1,,,,,5,5,6,,6,6,
