state_ut,crime_head,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_number_of_persons_under_trial_during_the_year,persons_against_whom_cases_were_compounded_or_withdrawn,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted,persons_acquitted
Andhra Pradesh,Arson,4,8,0,7,5,35,40,0,38,2,0,2
Arunachal Pradesh,Arson,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Arson,2,0,2,0,0,6,6,0,0,6,0,6
Bihar,Arson,32,73,0,22,83,222,305,0,277,28,0,28
Chhattisgarh,Arson,0,1,0,0,1,1,2,0,2,0,0,0
Goa,Arson,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,Arson,0,29,0,0,29,339,368,0,344,24,0,24
Haryana,Arson,0,0,0,0,0,16,16,0,6,10,0,10
Himachal Pradesh,Arson,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Arson,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,Arson,1,2,0,1,2,0,2,0,0,2,0,2
Karnataka,Arson,6,2,0,2,6,6,12,0,7,5,0,5
Kerala,Arson,1,0,1,0,0,17,17,0,17,0,0,0
Madhya Pradesh,Arson,0,59,0,0,59,283,342,0,280,62,17,45
Maharashtra,Arson,4,96,3,13,84,359,443,0,431,12,0,12
Manipur,Arson,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,Arson,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,Arson,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,Arson,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,Arson,8,28,0,9,27,177,204,0,186,18,0,18
Punjab,Arson,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,Arson,8,29,0,8,29,238,267,0,250,17,6,11
Sikkim,Arson,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,Arson,2,35,0,34,3,32,35,0,23,12,1,11
Tripura,Arson,0,1,0,0,1,0,1,0,1,0,0,0
Uttar Pradesh,Arson,12,104,32,10,74,466,540,3,489,48,37,11
Uttarakhand,Arson,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,Arson,0,2,0,1,1,0,1,0,1,0,0,0
Total (State),Arson,80,469,38,107,404,2197,2601,3,2352,246,61,185
A&N Islands,Arson,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,Arson,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,Arson,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,Arson,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Arson,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,Arson,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Arson,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Arson,0,0,0,0,0,0,0,0,0,0,0,0
Total (All-India),Arson,80,469,38,107,404,2197,2601,3,2352,246,61,185
Andhra Pradesh,Dacoity,0,3,0,3,0,8,8,0,0,8,8,0
Arunachal Pradesh,Dacoity,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Dacoity,9,0,9,0,0,2,2,0,0,2,0,2
Bihar,Dacoity,0,0,0,0,0,8,8,0,5,3,0,3
Chhattisgarh,Dacoity,0,0,0,0,0,0,0,0,0,0,0,0
Goa,Dacoity,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,Dacoity,0,63,0,23,40,297,337,0,291,46,0,46
Haryana,Dacoity,0,16,0,0,16,4,20,0,0,20,0,20
Himachal Pradesh,Dacoity,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Dacoity,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,Dacoity,2,0,0,1,1,5,6,0,6,0,0,0
Karnataka,Dacoity,0,9,0,6,3,33,36,0,16,20,0,20
