state_ut,crime_head,male_below_18_years,female_below_18_years,male_between_18_30_years,female_between_18_30_years,male_between_30_45_years,female_between_30_45_years,male_between_45_60_years,female_between_45_60_years,male_above_60_years,female_above_60_years,male_total,female_total,grand_total
ARUNACHAL PRADESH,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",0,0,32,0,38,0,0,0,0,0,70,0,70
ASSAM,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",63,0,1394,13,1381,26,314,1,7,0,3159,40,3199
BIHAR,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",112,2,3515,84,1946,92,867,21,61,0,6501,199,6700
CHHATTISGARH,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",64,11,328,21,122,8,15,5,0,0,529,45,574
GOA,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",0,0,15,0,2,0,0,0,0,0,17,0,17
GUJARAT,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",48,12,1449,53,609,37,181,19,13,1,2300,122,2422
HARYANA,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",24,0,699,18,289,16,78,4,2,0,1092,38,1130
HIMACHAL PRADESH,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",2,0,75,5,40,5,11,2,1,0,129,12,141
JAMMU & KASHMIR,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",5,0,508,18,401,12,15,2,0,0,929,32,961
JHARKHAND,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",14,2,696,35,448,19,137,13,4,0,1299,69,1368
KARNATAKA,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",11,2,1020,23,640,42,205,25,24,2,1900,94,1994
KERALA,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",10,0,237,3,118,6,17,3,1,0,383,12,395
MADHYA PRADESH,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",81,1,1190,21,567,34,179,2,12,0,2029,58,2087
MAHARASHTRA,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",42,2,1441,107,684,141,220,40,20,6,2407,296,2703
MANIPUR,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",0,0,81,9,42,5,10,3,0,0,133,17,150
MEGHALAYA,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",0,1,63,3,27,0,0,0,0,0,90,4,94
MIZORAM,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",0,0,4,1,2,0,0,0,0,0,6,1,7
NAGALAND,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",0,0,17,2,9,1,0,0,0,0,26,3,29
ODISHA,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",16,1,819,57,504,76,111,8,0,0,1450,142,1592
PUNJAB,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",11,0,504,66,307,52,106,17,5,0,933,135,1068
RAJASTHAN,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",83,0,1197,42,604,50,192,13,12,1,2088,106,2194
SIKKIM,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",0,0,5,0,3,0,0,0,0,0,8,0,8
TAMIL NADU,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",12,1,1040,27,594,63,169,41,13,2,1828,134,1962
TRIPURA,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",3,0,90,10,34,1,5,0,1,0,133,11,144
UTTAR PRADESH,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",85,4,14744,221,6081,225,1610,38,37,0,22557,488,23045
UTTARAKHAND,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",15,2,133,8,91,8,6,2,1,0,246,20,266
WEST BENGAL,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",69,9,1744,104,1599,161,572,69,43,6,4027,349,4376
TOTAL (STATES),"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",839,53,34442,1020,17886,1145,5227,348,272,19,58666,2585,61251
A & N ISLANDS,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",0,0,5,0,2,0,0,0,0,0,7,0,7
CHANDIGARH,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",0,0,36,0,24,0,10,1,0,0,70,1,71
D & N HAVELI,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",3,0,14,0,1,0,1,0,0,0,19,0,19
DAMAN & DIU,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",0,0,1,0,0,0,0,0,0,0,1,0,1
DELHI,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",17,1,451,22,120,28,4,8,2,0,594,59,653
LAKSHADWEEP,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",0,0,11,1,6,0,0,0,0,0,17,1,18
TOTAL (UTs),"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",20,1,518,23,153,28,15,9,2,0,708,61,769
TOTAL (ALL-INDIA),"KIDNAPPING AND ABDUCTION (SECTION 363 TO 369, 371 TO 373 IPC)",859,54,34960,1043,18039,1173,5242,357,274,19,59374,2646,62020
ANDHRA PRADESH,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,56,3,1018,57,420,49,131,16,13,1,1638,126,1764
ARUNACHAL PRADESH,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,0,0,27,0,22,0,0,0,0,0,49,0,49
ASSAM,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,52,0,1185,13,1125,26,282,1,5,0,2649,40,2689
BIHAR,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,91,0,2546,51,1342,62,503,11,33,0,4515,124,4639
CHHATTISGARH,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,53,11,243,21,92,8,8,5,0,0,396,45,441
GOA,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,0,0,10,0,2,0,0,0,0,0,12,0,12
GUJARAT,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,43,10,1200,48,435,36,142,16,8,1,1828,111,1939
HARYANA,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,14,0,438,13,138,13,39,4,1,0,630,30,660
HIMACHAL PRADESH,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,2,0,70,5,36,5,10,2,1,0,119,12,131
JAMMU & KASHMIR,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,5,0,486,18,348,12,14,1,0,0,853,31,884
JHARKHAND,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,13,2,519,26,313,17,96,11,3,0,944,56,1000
KARNATAKA,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,4,1,525,17,287,33,127,21,19,1,962,73,1035
KERALA,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,10,0,166,2,54,5,12,3,1,0,243,10,253
MADHYA PRADESH,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,72,1,970,21,405,33,134,2,10,0,1591,57,1648
MAHARASHTRA,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,33,0,932,88,391,124,155,36,11,5,1522,253,1775
MANIPUR,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,0,0,62,9,16,2,9,3,0,0,87,14,101
MEGHALAYA,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,0,1,3,0,2,0,0,0,0,0,5,1,6
MIZORAM,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,0,0,2,1,0,0,0,0,0,0,2,1,3
NAGALAND,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,0,0,7,0,0,0,0,0,0,0,7,0,7
ODISHA,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,12,1,704,49,413,68,93,7,0,0,1222,125,1347
PUNJAB,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,8,0,346,59,198,38,68,14,0,0,620,111,731
RAJASTHAN,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,68,0,875,37,389,44,132,11,8,1,1472,93,1565
SIKKIM,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,0,0,5,0,3,0,0,0,0,0,8,0,8
TAMIL NADU,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,5,0,864,25,429,58,123,38,13,2,1434,123,1557
TRIPURA,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,2,0,82,8,25,1,2,0,0,0,111,9,120
UTTAR PRADESH,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,82,4,13105,217,5357,218,1511,37,34,0,20089,476,20565
UTTARAKHAND,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,15,2,122,7,86,6,4,0,0,0,227,15,242
WEST BENGAL,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,51,9,1496,101,1060,143,382,67,37,6,3026,326,3352
TOTAL (STATES),KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,691,45,28008,893,13388,1001,3977,306,197,17,46261,2262,48523
A & N ISLANDS,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,0,0,5,0,2,0,0,0,0,0,7,0,7
CHANDIGARH,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,0,0,28,0,16,0,3,1,0,0,47,1,48
D & N HAVELI,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,3,0,8,0,0,0,0,0,0,0,11,0,11
DAMAN & DIU,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,9,1,327,19,90,21,2,7,2,0,430,48,478
LAKSHADWEEP,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,0,0,11,0,5,0,0,0,0,0,16,0,16
TOTAL (UTs),KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,12,1,379,19,113,21,5,8,2,0,511,49,560
TOTAL (ALL-INDIA),KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,703,46,28387,912,13501,1022,3982,314,199,17,46772,2311,49083
ANDHRA PRADESH,KIDNAPPING AND ABDUCTION OF OTHERS,13,0,384,12,284,16,76,4,2,0,759,32,791
ARUNACHAL PRADESH,KIDNAPPING AND ABDUCTION OF OTHERS,0,0,5,0,16,0,0,0,0,0,21,0,21
ASSAM,KIDNAPPING AND ABDUCTION OF OTHERS,11,0,209,0,256,0,32,0,2,0,510,0,510
BIHAR,KIDNAPPING AND ABDUCTION OF OTHERS,21,2,969,33,604,30,364,10,28,0,1986,75,2061
CHHATTISGARH,KIDNAPPING AND ABDUCTION OF OTHERS,11,0,85,0,30,0,7,0,0,0,133,0,133
GOA,KIDNAPPING AND ABDUCTION OF OTHERS,0,0,5,0,0,0,0,0,0,0,5,0,5
GUJARAT,KIDNAPPING AND ABDUCTION OF OTHERS,5,2,249,5,174,1,39,3,5,0,472,11,483
HARYANA,KIDNAPPING AND ABDUCTION OF OTHERS,10,0,261,5,151,3,39,0,1,0,462,8,470
HIMACHAL PRADESH,KIDNAPPING AND ABDUCTION OF OTHERS,0,0,5,0,4,0,1,0,0,0,10,0,10
JAMMU & KASHMIR,KIDNAPPING AND ABDUCTION OF OTHERS,0,0,22,0,53,0,1,1,0,0,76,1,77
JHARKHAND,KIDNAPPING AND ABDUCTION OF OTHERS,1,0,177,9,135,2,41,2,1,0,355,13,368
KARNATAKA,KIDNAPPING AND ABDUCTION OF OTHERS,7,1,495,6,353,9,78,4,5,1,938,21,959
KERALA,KIDNAPPING AND ABDUCTION OF OTHERS,0,0,71,1,64,1,5,0,0,0,140,2,142
MADHYA PRADESH,KIDNAPPING AND ABDUCTION OF OTHERS,9,0,220,0,162,1,45,0,2,0,438,1,439
MAHARASHTRA,KIDNAPPING AND ABDUCTION OF OTHERS,9,2,509,19,293,17,65,4,9,1,885,43,928
MANIPUR,KIDNAPPING AND ABDUCTION OF OTHERS,0,0,19,0,26,3,1,0,0,0,46,3,49
MEGHALAYA,KIDNAPPING AND ABDUCTION OF OTHERS,0,0,60,3,25,0,0,0,0,0,85,3,88
MIZORAM,KIDNAPPING AND ABDUCTION OF OTHERS,0,0,2,0,2,0,0,0,0,0,4,0,4
NAGALAND,KIDNAPPING AND ABDUCTION OF OTHERS,0,0,10,2,9,1,0,0,0,0,19,3,22
ODISHA,KIDNAPPING AND ABDUCTION OF OTHERS,4,0,115,8,91,8,18,1,0,0,228,17,245
PUNJAB,KIDNAPPING AND ABDUCTION OF OTHERS,3,0,158,7,109,14,38,3,5,0,313,24,337
RAJASTHAN,KIDNAPPING AND ABDUCTION OF OTHERS,15,0,322,5,215,6,60,2,4,0,616,13,629
SIKKIM,KIDNAPPING AND ABDUCTION OF OTHERS,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,KIDNAPPING AND ABDUCTION OF OTHERS,7,1,176,2,165,5,46,3,0,0,394,11,405
TRIPURA,KIDNAPPING AND ABDUCTION OF OTHERS,1,0,8,2,9,0,3,0,1,0,22,2,24
UTTAR PRADESH,KIDNAPPING AND ABDUCTION OF OTHERS,3,0,1639,4,724,7,99,1,3,0,2468,12,2480
UTTARAKHAND,KIDNAPPING AND ABDUCTION OF OTHERS,0,0,11,1,5,2,2,2,1,0,19,5,24
WEST BENGAL,KIDNAPPING AND ABDUCTION OF OTHERS,18,0,248,3,539,18,190,2,6,0,1001,23,1024
TOTAL (STATES),KIDNAPPING AND ABDUCTION OF OTHERS,148,8,6434,127,4498,144,1250,42,75,2,12405,323,12728
A & N ISLANDS,KIDNAPPING AND ABDUCTION OF OTHERS,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,KIDNAPPING AND ABDUCTION OF OTHERS,0,0,8,0,8,0,7,0,0,0,23,0,23
D & N HAVELI,KIDNAPPING AND ABDUCTION OF OTHERS,0,0,6,0,1,0,1,0,0,0,8,0,8
DAMAN & DIU,KIDNAPPING AND ABDUCTION OF OTHERS,0,0,1,0,0,0,0,0,0,0,1,0,1
DELHI,KIDNAPPING AND ABDUCTION OF OTHERS,8,0,124,3,30,7,2,1,0,0,164,11,175
LAKSHADWEEP,KIDNAPPING AND ABDUCTION OF OTHERS,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,KIDNAPPING AND ABDUCTION OF OTHERS,0,0,0,1,1,0,0,0,0,0,1,1,2
TOTAL (UTs),KIDNAPPING AND ABDUCTION OF OTHERS,8,0,139,4,40,7,10,1,0,0,197,12,209
TOTAL (ALL-INDIA),KIDNAPPING AND ABDUCTION OF OTHERS,156,8,6573,131,4538,151,1260,43,75,2,12602,335,12937
ANDHRA PRADESH,DACOITY (SECTION  395 TO 398 IPC),22,0,354,0,183,2,30,0,0,0,589,2,591
ARUNACHAL PRADESH,DACOITY (SECTION  395 TO 398 IPC),1,0,28,0,0,0,0,0,0,0,29,0,29
ASSAM,DACOITY (SECTION  395 TO 398 IPC),0,0,160,0,250,0,74,0,1,0,485,0,485
BIHAR,DACOITY (SECTION  395 TO 398 IPC),14,0,1202,19,1156,11,185,0,23,0,2580,30,2610
CHHATTISGARH,DACOITY (SECTION  395 TO 398 IPC),2,0,95,0,47,0,17,0,0,0,161,0,161
GOA,DACOITY (SECTION  395 TO 398 IPC),6,0,21,0,0,0,0,0,0,0,27,0,27
GUJARAT,DACOITY (SECTION  395 TO 398 IPC),12,2,797,9,425,5,143,6,4,0,1381,22,1403
HARYANA,DACOITY (SECTION  395 TO 398 IPC),13,0,299,0,156,0,23,0,0,0,491,0,491
HIMACHAL PRADESH,DACOITY (SECTION  395 TO 398 IPC),0,0,1,0,0,0,0,0,0,0,1,0,1
JAMMU & KASHMIR,DACOITY (SECTION  395 TO 398 IPC),0,0,13,0,10,0,0,0,0,0,23,0,23
JHARKHAND,DACOITY (SECTION  395 TO 398 IPC),3,0,348,1,199,5,30,0,0,0,580,6,586
KARNATAKA,DACOITY (SECTION  395 TO 398 IPC),6,0,407,8,268,2,68,0,10,0,759,10,769
KERALA,DACOITY (SECTION  395 TO 398 IPC),1,0,187,4,153,2,15,0,3,0,359,6,365
MADHYA PRADESH,DACOITY (SECTION  395 TO 398 IPC),15,0,337,3,218,2,146,0,3,1,719,6,725
MAHARASHTRA,DACOITY (SECTION  395 TO 398 IPC),93,7,2235,31,1133,60,378,22,44,5,3883,125,4008
MANIPUR,DACOITY (SECTION  395 TO 398 IPC),0,0,1,0,0,0,0,0,0,0,1,0,1
MEGHALAYA,DACOITY (SECTION  395 TO 398 IPC),3,0,51,0,19,0,1,0,0,0,74,0,74
MIZORAM,DACOITY (SECTION  395 TO 398 IPC),0,0,0,0,0,0,1,0,0,0,1,0,1
NAGALAND,DACOITY (SECTION  395 TO 398 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,DACOITY (SECTION  395 TO 398 IPC),20,0,986,18,620,3,183,0,0,0,1809,21,1830
PUNJAB,DACOITY (SECTION  395 TO 398 IPC),0,0,61,0,69,0,16,0,0,0,146,0,146
RAJASTHAN,DACOITY (SECTION  395 TO 398 IPC),2,0,80,3,49,2,8,1,0,0,139,6,145
SIKKIM,DACOITY (SECTION  395 TO 398 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,DACOITY (SECTION  395 TO 398 IPC),12,0,300,5,177,3,36,0,0,0,525,8,533
TRIPURA,DACOITY (SECTION  395 TO 398 IPC),0,0,16,2,16,2,2,1,0,0,34,5,39
UTTAR PRADESH,DACOITY (SECTION  395 TO 398 IPC),5,0,1282,0,575,2,77,0,0,0,1939,2,1941
UTTARAKHAND,DACOITY (SECTION  395 TO 398 IPC),0,0,64,0,37,0,6,0,0,0,107,0,107
WEST BENGAL,DACOITY (SECTION  395 TO 398 IPC),7,0,613,1,416,2,44,2,1,0,1081,5,1086
TOTAL (STATES),DACOITY (SECTION  395 TO 398 IPC),237,9,9938,104,6176,103,1483,32,89,6,17923,254,18177
A & N ISLANDS,DACOITY (SECTION  395 TO 398 IPC),0,0,1,0,3,0,1,0,0,0,5,0,5
CHANDIGARH,DACOITY (SECTION  395 TO 398 IPC),0,0,13,1,4,0,0,0,0,0,17,1,18
D & N HAVELI,DACOITY (SECTION  395 TO 398 IPC),0,0,4,0,3,0,0,0,0,0,7,0,7
DAMAN & DIU,DACOITY (SECTION  395 TO 398 IPC),0,0,1,0,3,0,1,0,0,0,5,0,5
DELHI,DACOITY (SECTION  395 TO 398 IPC),12,1,89,1,56,2,2,0,3,0,162,4,166
LAKSHADWEEP,DACOITY (SECTION  395 TO 398 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,DACOITY (SECTION  395 TO 398 IPC),1,0,40,0,3,0,0,0,0,0,44,0,44
TOTAL (UTs),DACOITY (SECTION  395 TO 398 IPC),13,1,148,2,72,2,4,0,3,0,240,5,245
TOTAL (ALL-INDIA),DACOITY (SECTION  395 TO 398 IPC),250,10,10086,106,6248,105,1487,32,92,6,18163,259,18422
ANDHRA PRADESH,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,7,0,4,0,1,0,0,0,12,0,12
ARUNACHAL PRADESH,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,4,0,10,0,0,0,0,0,14,0,14
BIHAR,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),2,0,207,0,85,0,17,0,4,0,315,0,315
CHHATTISGARH,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,20,0,3,0,0,1,0,0,23,1,24
GOA,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),2,0,50,0,32,1,4,0,0,0,88,1,89
HARYANA,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),17,0,495,2,160,0,42,0,0,0,714,2,716
HIMACHAL PRADESH,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),5,0,111,3,45,0,9,0,0,0,170,3,173
KARNATAKA,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),7,0,1857,1,574,1,57,0,6,0,2501,2,2503
KERALA,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,327,0,462,3,123,0,5,0,917,3,920
MADHYA PRADESH,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),7,0,355,0,211,0,58,0,1,0,632,0,632
MAHARASHTRA,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),40,0,1200,9,287,5,29,2,7,0,1563,16,1579
MANIPUR,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),3,0,173,1,107,2,34,2,2,0,319,5,324
MEGHALAYA,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),4,0,1,0,0,0,0,0,0,0,5,0,5
MIZORAM,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),7,0,359,0,253,0,22,0,0,0,641,0,641
PUNJAB,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),12,0,484,0,316,0,90,0,0,0,902,0,902
RAJASTHAN,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),2,0,219,1,130,0,12,0,0,0,363,1,364
SIKKIM,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,72,0,42,0,12,0,0,0,126,0,126
TRIPURA,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,267,0,115,0,10,0,0,0,392,0,392
UTTARAKHAND,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,14,0,2,0,0,0,0,0,16,0,16
WEST BENGAL,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),21,0,1634,0,1250,2,230,0,2,0,3137,2,3139
TOTAL (STATES),PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),129,0,7856,17,4088,14,750,5,27,0,12850,36,12886
A & N ISLANDS,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,34,0,11,0,0,0,0,0,45,0,45
D & N HAVELI,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),1,0,52,0,10,0,2,0,0,0,65,0,65
LAKSHADWEEP,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),2,0,89,0,2,0,0,0,0,0,93,0,93
TOTAL (UTs),PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),3,0,175,0,23,0,2,0,0,0,203,0,203
TOTAL (ALL-INDIA),PREPARATION AND ASSEMBLY FOR DACOITY (SECTION 399 TO 402 IPC),132,0,8031,17,4111,14,752,5,27,0,13053,36,13089
ANDHRA PRADESH,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",25,0,721,9,340,5,45,0,2,0,1133,14,1147
ARUNACHAL PRADESH,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",0,0,67,0,10,0,0,0,0,0,77,0,77
ASSAM,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",14,0,304,0,441,0,191,0,0,0,950,0,950
BIHAR,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",65,0,1159,0,916,1,131,0,3,0,2274,1,2275
CHHATTISGARH,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",46,0,414,3,172,0,33,1,0,0,665,4,669
GOA,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",2,0,19,0,4,0,0,0,0,0,25,0,25
GUJARAT,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",53,0,1103,11,479,11,109,0,2,0,1746,22,1768
HARYANA,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",26,0,720,1,336,1,71,0,0,0,1153,2,1155
HIMACHAL PRADESH,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",0,0,14,0,9,0,0,0,0,0,23,0,23
JAMMU & KASHMIR,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",0,0,40,0,70,0,4,0,0,0,114,0,114
JHARKHAND,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",5,0,419,2,189,0,53,0,0,0,666,2,668
KARNATAKA,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",11,0,1389,12,649,19,154,9,32,0,2235,40,2275
KERALA,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",15,0,434,42,299,9,82,2,9,1,839,54,893
MADHYA PRADESH,"ROBBERY (SECTION 392 TO 394, 397, 398 IPC)",85,0,1581,5,651,1,259,1,10,0,2586,7,2593
