state_ut,crime_head,male_below_18_years,female_below_18_years,male_between_18_30_years,female_between_18_30_years,male_between_30_45_years,female_between_30_45_years,male_between_45_60_years,female_between_45_60_years,male_above_60_years,female_above_60_years,male_total,female_total,grand_total
Andhra Pradesh,Arson,4,0,298,11,359,11,116,4,16,1,793,27,820
Arunachal Pradesh,Arson,0,0,7,0,10,0,0,0,0,0,17,0,17
Assam,Arson,9,0,291,0,421,0,50,0,0,0,771,0,771
Bihar,Arson,1,0,687,7,487,7,131,0,22,0,1328,14,1342
Chhattisgarh,Arson,2,2,127,4,92,1,22,1,1,0,244,8,252
Goa,Arson,0,0,5,1,13,0,4,0,2,0,24,1,25
Gujarat,Arson,7,0,284,13,268,17,62,6,6,0,627,36,663
Haryana,Arson,0,0,72,0,99,0,36,1,1,0,208,1,209
Himachal Pradesh,Arson,0,0,27,1,44,2,20,2,0,0,91,5,96
Jammu & Kashmir,Arson,1,0,86,1,125,1,24,0,1,0,237,2,239
Jharkhand,Arson,1,0,108,0,77,2,14,0,0,0,200,2,202
Karnataka,Arson,0,0,75,3,157,8,92,4,20,0,344,15,359
Kerala,Arson,5,0,163,0,168,3,32,0,1,0,369,3,372
Madhya Pradesh,Arson,6,0,472,3,358,5,107,1,9,0,952,9,961
Maharashtra,Arson,21,3,622,13,562,37,263,17,34,0,1502,70,1572
Manipur,Arson,0,0,1,0,1,0,1,0,0,0,3,0,3
Meghalaya,Arson,2,0,96,0,46,0,10,0,1,0,155,0,155
Mizoram,Arson,1,0,13,0,3,0,1,0,0,0,18,0,18
Nagaland,Arson,0,0,5,0,2,0,1,0,0,0,8,0,8
Odisha,Arson,5,0,160,4,233,8,101,2,1,0,500,14,514
Punjab,Arson,0,0,42,1,42,0,8,0,0,0,92,1,93
Rajasthan,Arson,6,0,240,10,218,7,88,3,7,0,559,20,579
Sikkim,Arson,0,0,9,0,7,0,3,0,0,0,19,0,19
Tamil Nadu,Arson,2,0,281,20,308,30,125,14,11,0,727,64,791
Tripura,Arson,0,0,54,0,27,0,3,0,0,0,84,0,84
Uttar Pradesh,Arson,1,0,430,0,331,0,186,0,19,0,967,0,967
Uttarakhand,Arson,2,0,3,0,3,0,1,0,0,0,9,0,9
West Bengal,Arson,2,0,185,0,234,7,73,0,0,0,494,7,501
Total (State),Arson,78,5,4843,92,4695,146,1574,55,152,1,11342,299,11641
A&N Islands,Arson,0,0,0,0,1,0,0,0,0,0,1,0,1
Chandigarh,Arson,0,0,1,0,2,0,1,0,0,0,4,0,4
D&N Haveli,Arson,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,Arson,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,Arson,0,0,26,0,15,0,3,0,0,0,44,0,44
Lakshadweep,Arson,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Arson,0,0,5,0,2,0,2,0,0,0,9,0,9
Total (UTs),Arson,0,0,32,0,20,0,6,0,0,0,58,0,58
Total (All-India),Arson,78,5,4875,92,4715,146,1580,55,152,1,11400,299,11699
Andhra Pradesh,Assault on Women wih intent to outrage her Modesty,133,4,3341,69,2220,65,829,17,127,1,6650,156,6806
Arunachal Pradesh,Assault on Women wih intent to outrage her Modesty,0,0,67,0,13,0,1,0,0,0,81,0,81
Assam,Assault on Women wih intent to outrage her Modesty,6,0,1083,4,1288,2,155,0,0,0,2532,6,2538
Bihar,Assault on Women wih intent to outrage her Modesty,33,0,320,2,137,3,13,0,1,0,504,5,509
Chhattisgarh,Assault on Women wih intent to outrage her Modesty,121,0,1504,7,724,5,181,2,7,0,2537,14,2551
Goa,Assault on Women wih intent to outrage her Modesty,1,0,73,0,62,0,30,0,4,0,170,0,170
Gujarat,Assault on Women wih intent to outrage her Modesty,55,2,1013,30,483,26,122,5,19,1,1692,64,1756
Haryana,Assault on Women wih intent to outrage her Modesty,59,0,1029,8,540,9,112,2,26,0,1766,19,1785
Himachal Pradesh,Assault on Women wih intent to outrage her Modesty,6,0,261,7,195,19,59,6,12,0,533,32,565
Jammu & Kashmir,Assault on Women wih intent to outrage her Modesty,4,0,969,110,1040,101,496,33,55,4,2564,248,2812
Jharkhand,Assault on Women wih intent to outrage her Modesty,0,0,400,3,122,0,27,0,0,0,549,3,552
Karnataka,Assault on Women wih intent to outrage her Modesty,4,1,2042,225,1885,311,1032,180,195,34,5158,751,5909
Kerala,Assault on Women wih intent to outrage her Modesty,15,0,2042,14,1633,38,562,27,71,4,4323,83,4406
Madhya Pradesh,Assault on Women wih intent to outrage her Modesty,367,2,5915,36,2558,18,753,5,43,2,9636,63,9699
Maharashtra,Assault on Women wih intent to outrage her Modesty,361,5,5167,129,3065,165,953,77,144,18,9690,394,10084
Manipur,Assault on Women wih intent to outrage her Modesty,0,0,16,3,20,1,7,3,1,0,44,7,51
Meghalaya,Assault on Women wih intent to outrage her Modesty,1,0,64,0,37,0,14,0,0,0,116,0,116
Mizoram,Assault on Women wih intent to outrage her Modesty,3,0,33,0,43,0,11,0,0,0,90,0,90
Nagaland,Assault on Women wih intent to outrage her Modesty,0,0,8,0,4,0,2,0,0,0,14,0,14
Odisha,Assault on Women wih intent to outrage her Modesty,45,0,3066,126,2008,102,637,36,97,0,5853,264,6117
Punjab,Assault on Women wih intent to outrage her Modesty,22,1,628,16,361,16,84,3,1,0,1096,36,1132
Rajasthan,Assault on Women wih intent to outrage her Modesty,122,0,2440,84,1526,72,456,43,39,4,4583,203,4786
Sikkim,Assault on Women wih intent to outrage her Modesty,0,0,16,0,13,0,0,0,0,0,29,0,29
Tamil Nadu,Assault on Women wih intent to outrage her Modesty,7,0,803,34,656,69,199,36,19,0,1684,139,1823
Tripura,Assault on Women wih intent to outrage her Modesty,4,1,280,1,116,0,55,0,3,0,458,2,460
Uttar Pradesh,Assault on Women wih intent to outrage her Modesty,51,0,9080,4,2865,9,205,0,0,0,12201,13,12214
Uttarakhand,Assault on Women wih intent to outrage her Modesty,4,0,215,1,156,0,18,0,0,0,393,1,394
West Bengal,Assault on Women wih intent to outrage her Modesty,30,0,2475,1,2176,4,717,5,18,0,5416,10,5426
