state_ut,crime_head,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_number_of_persons_under_trial_during_the_year,persons_against_whom_cases_were_compounded_or_withdrawn,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted,persons_acquitted
ANDHRA PRADESH,INFANTICIDE (SECTION 315 IPC),0,6,0,5,1,4,5,0,5,0,0,0
ARUNACHAL PRADESH,INFANTICIDE (SECTION 315 IPC),0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,INFANTICIDE (SECTION 315 IPC),0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,INFANTICIDE (SECTION 315 IPC),0,2,0,0,2,7,9,0,6,3,1,2
CHHATTISGARH,INFANTICIDE (SECTION 315 IPC),0,5,0,0,5,16,21,0,17,4,2,2
GOA,INFANTICIDE (SECTION 315 IPC),0,0,0,0,0,1,1,0,1,0,0,0
GUJARAT,INFANTICIDE (SECTION 315 IPC),0,0,0,0,0,16,16,0,16,0,0,0
HARYANA,INFANTICIDE (SECTION 315 IPC),0,0,0,0,0,4,4,0,0,4,0,4
HIMACHAL PRADESH,INFANTICIDE (SECTION 315 IPC),2,0,0,0,2,0,2,0,0,2,0,2
JAMMU & KASHMIR,INFANTICIDE (SECTION 315 IPC),0,0,0,0,0,1,1,0,1,0,0,0
JHARKHAND,INFANTICIDE (SECTION 315 IPC),0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,INFANTICIDE (SECTION 315 IPC),0,1,0,0,1,2,3,0,2,1,0,1
KERALA,INFANTICIDE (SECTION 315 IPC),0,0,0,0,0,5,5,0,4,1,1,0
MADHYA PRADESH,INFANTICIDE (SECTION 315 IPC),0,13,0,0,13,32,45,0,40,5,0,5
MAHARASHTRA,INFANTICIDE (SECTION 315 IPC),9,12,0,4,17,20,37,0,34,3,3,0
MANIPUR,INFANTICIDE (SECTION 315 IPC),0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,INFANTICIDE (SECTION 315 IPC),3,0,0,3,0,0,0,0,0,0,0,0
MIZORAM,INFANTICIDE (SECTION 315 IPC),0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,INFANTICIDE (SECTION 315 IPC),0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,INFANTICIDE (SECTION 315 IPC),0,0,0,0,0,3,3,0,3,0,0,0
PUNJAB,INFANTICIDE (SECTION 315 IPC),3,1,0,3,1,7,8,0,6,2,0,2
RAJASTHAN,INFANTICIDE (SECTION 315 IPC),0,3,0,0,3,9,12,0,6,6,2,4
SIKKIM,INFANTICIDE (SECTION 315 IPC),1,1,0,0,2,1,3,0,1,2,2,0
TAMIL NADU,INFANTICIDE (SECTION 315 IPC),4,1,0,5,0,3,3,0,3,0,0,0
TRIPURA,INFANTICIDE (SECTION 315 IPC),0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,INFANTICIDE (SECTION 315 IPC),0,19,0,0,19,134,153,0,139,14,10,4
