state_ut,district,year,murder,rape,kidnapping_and_abduction,foeticide,abetment_of_suicide,exposure_and_abandonment,procuration_of_minor_girls,buying_of_girls_for_prostitution,selling_of_girls_for_prostitution,prohibition_of_child_marriage_act,other_crimes,total
ASSAM,SIBSAGAR,2001,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,SONITPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,TINSUKIA,2001,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,TOTAL,2001,0,0,18,0,0,0,0,0,0,0,0,18
BIHAR,ARARIA,2001,0,4,8,0,0,0,0,0,0,0,0,12
BIHAR,ARWAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,AURANGABAD,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BAGAHA,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BANKA,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BEGUSARAI,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BETTIAH,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BHABHUA,2001,0,3,4,0,0,0,2,0,0,0,10,19
BIHAR,BHAGALPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BHOJPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,BUXAR,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,DARBHANGA,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,GAYA,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,GOPALGANJ,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,JAMALPUR RLY.,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,JAMUI,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,JEHANABAD,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,KATIHAR,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,KATIHAR RLY.,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,KHAGARIA,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,KISHANGANJ,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,LAKHISARAI,2001,1,1,0,0,0,0,0,0,0,0,0,2
BIHAR,MADHEPURA,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,MADHUBANI,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,MOTIHARI,2001,0,0,0,0,0,0,0,0,0,1,0,1
BIHAR,MUNGER,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,MUZAFFARPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,MUZAFFARPUR RLY.,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,NALANDA,2001,0,1,7,0,0,0,0,0,0,0,6,14
BIHAR,NAUGACHIA,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,NAWADAH,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,PATNA,2001,0,2,0,0,0,1,1,1,1,0,2,8
BIHAR,PATNA RLY.,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,PURNEA,2001,1,4,4,0,0,0,13,0,0,1,0,23
BIHAR,ROHTAS,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,SAHARSA,2001,0,1,1,0,0,0,0,0,0,0,0,2
BIHAR,SAMASTIPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,SARAN,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,SHEIKHPURA,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,SHEOHAR,2001,0,0,2,0,0,0,0,0,0,0,0,2
BIHAR,SITAMARHI,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,SIWAN,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,SUPAUL,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,VAISHALI,2001,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,TOTAL,2001,2,16,26,0,0,1,16,1,1,2,18,83
CHHATTISGARH,BALRAMPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,BILASPUR,2001,0,16,5,2,1,4,0,0,0,0,31,59
CHHATTISGARH,BIZAPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,DANTEWARA,2001,0,3,1,0,0,0,0,0,0,0,6,10
CHHATTISGARH,DHAMTARI,2001,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,DURG,2001,2,3,1,0,0,0,0,0,0,0,123,129
CHHATTISGARH,GRP RAIPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,JAGDALPUR,2001,0,3,1,0,0,0,0,0,0,0,30,34
CHHATTISGARH,JANJGIR,2001,0,5,5,1,0,3,0,0,0,0,4,18
CHHATTISGARH,JASHPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,KANKER,2001,1,2,0,0,0,1,0,0,0,0,1,5
CHHATTISGARH,KAWARDHA,2001,0,3,0,0,0,0,0,0,0,0,0,3
CHHATTISGARH,KORBA,2001,3,4,3,0,0,2,0,0,0,0,17,29
CHHATTISGARH,KORIYA,2001,0,18,7,0,0,0,0,0,0,0,46,71
CHHATTISGARH,MAHASAMUND,2001,0,16,3,0,0,0,0,0,0,0,0,19
CHHATTISGARH,RAIGARH,2001,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,RAIPUR,2001,8,40,7,2,0,0,0,0,0,0,46,103
CHHATTISGARH,RAJNANDGAON,2001,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,SARGUJA,2001,0,37,13,0,0,5,0,0,0,0,50,105
GOA,NORTH GOA,2001,1,3,1,0,0,2,0,0,0,0,6,13
GOA,SOUTH GOA,2001,0,7,5,0,0,1,2,0,0,0,6,21
GOA,TOTAL,2001,1,10,6,0,0,3,2,0,0,0,12,34
GUJARAT,AHMEDABAD COMMR.,2001,2,1,4,0,0,13,18,0,0,0,39,77
GUJARAT,AHMEDABAD RURAL,2001,1,0,0,0,0,3,0,0,0,0,0,4
GUJARAT,AHWA-DANG,2001,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,AMRELI,2001,5,1,0,0,0,4,0,0,0,1,5,16
GUJARAT,ANAND,2001,0,0,0,0,0,9,0,0,0,1,1,11
GUJARAT,BHARUCH,2001,0,4,4,0,0,5,0,0,0,1,1,15
GUJARAT,BHAVNAGAR,2001,6,1,12,0,0,11,0,0,0,1,31,62
GUJARAT,DAHOD,2001,2,1,0,0,0,0,0,0,0,0,40,43
GUJARAT,GANDHINAGAR,2001,2,0,6,0,0,4,0,0,0,0,0,12
GUJARAT,HIMATNAGAR,2001,0,0,0,0,0,0,0,0,0,2,2,4
GUJARAT,JAMNAGAR,2001,9,2,1,0,0,5,0,0,0,0,0,17
GUJARAT,JUNAGADH,2001,6,3,0,2,0,11,0,0,0,0,10,32
GUJARAT,KHEDA NORTH,2001,0,0,0,0,0,6,0,0,0,0,0,6
GUJARAT,KUTCH,2001,1,0,10,0,0,8,0,0,0,1,7,27
GUJARAT,MEHSANA,2001,3,0,1,0,0,4,0,0,0,0,7,15
GUJARAT,NARMADA,2001,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,NAVSARI,2001,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,PALANPUR,2001,2,1,11,0,0,5,0,0,0,0,2,21
GUJARAT,PANCHMAHAL,2001,1,0,0,0,0,0,0,0,0,0,0,1
GUJARAT,PATAN,2001,2,1,1,0,0,2,0,0,0,1,1,8
GUJARAT,PORBANDAR,2001,4,0,0,0,0,3,0,0,0,0,0,7
GUJARAT,RAJKOT COMMR.,2001,3,1,4,0,0,8,0,0,0,0,2,18
GUJARAT,RAJKOT RURAL,2001,6,7,9,2,0,5,0,0,0,1,15,45
GUJARAT,SURAT COMMR.,2001,17,4,3,0,0,1,0,0,0,1,3,29
GUJARAT,SURAT RURAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,SURENDRANAGAR,2001,1,4,14,0,0,1,0,0,0,1,4,25
GUJARAT,VADODARA COMMR.,2001,2,2,9,0,0,4,0,0,0,0,19,36
GUJARAT,VADODARA RURAL,2001,3,6,31,0,0,0,0,0,0,0,1,41
GUJARAT,VALSAD,2001,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,W.RLY,2001,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,TOTAL,2001,78,39,120,4,0,112,18,0,0,11,190,572
HARYANA,AMBALA,2001,0,3,0,1,0,0,0,0,0,0,0,4
HARYANA,BHIWANI,2001,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,FARIDABAD,2001,6,16,56,1,0,0,0,0,1,0,39,119
HARYANA,FATEHABAD,2001,1,7,10,1,0,0,0,0,1,0,7,27
HARYANA,GRP,2001,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,GURGAON,2001,5,6,28,0,0,8,5,0,0,0,0,52
HARYANA,HISAR,2001,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,JHAJJAR,2001,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,JIND,2001,5,13,4,0,0,3,0,0,0,0,0,25
HARYANA,KAITHAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,KARNAL,2001,3,23,7,0,0,5,0,0,0,0,9,47
HARYANA,KURUKSHETRA,2001,1,6,10,0,0,0,0,0,0,0,0,17
HARYANA,MAHENDERGARH,2001,2,2,0,0,0,0,0,0,0,0,0,4
HARYANA,PANCHKULA,2001,1,0,1,0,0,0,0,0,0,0,0,2
HARYANA,PANIPAT,2001,7,31,8,0,0,0,0,0,0,0,7,53
HARYANA,REWARI,2001,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,ROHTAK,2001,0,0,0,0,0,0,0,0,0,0,3,3
HARYANA,SIRSA,2001,0,1,0,0,0,0,0,0,0,0,9,10
HARYANA,SONIPAT,2001,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,YAMUNANAGAR,2001,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,TOTAL,2001,31,108,124,3,0,16,5,0,2,0,74,363
HIMACHAL PRADESH,BILASPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,CHAMBA,2001,1,5,0,0,0,2,0,0,0,0,0,8
HIMACHAL PRADESH,G.R.P.,2001,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,HAMIRPUR,2001,0,3,3,0,0,2,0,0,0,0,0,8
HIMACHAL PRADESH,KANGRA,2001,1,3,2,0,0,2,0,0,0,0,3,11
HIMACHAL PRADESH,KINNAUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,KULLU,2001,1,9,6,0,0,0,0,0,0,0,4,20
HIMACHAL PRADESH,LAHAUL-SPITI,2001,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,MANDI,2001,0,3,0,0,0,1,0,0,0,0,0,4
HIMACHAL PRADESH,SHIMLA,2001,0,3,0,0,0,1,0,0,0,0,0,4
HIMACHAL PRADESH,SIRMAUR,2001,1,3,5,0,0,1,0,0,0,0,0,10
HIMACHAL PRADESH,SOLAN,2001,1,3,4,0,0,6,0,0,0,0,0,14
HIMACHAL PRADESH,UNA,2001,0,3,0,0,0,0,0,0,0,0,0,3
HIMACHAL PRADESH,TOTAL,2001,5,35,20,0,0,15,0,0,0,0,7,82
JAMMU & KASHMIR,ANANTNAG,2001,0,1,14,0,0,1,0,0,0,0,1,17
JAMMU & KASHMIR,AWANTIPORA,2001,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,BARAMULLA,2001,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,BORDER,2001,1,2,0,0,0,0,0,0,0,0,0,3
JAMMU & KASHMIR,BUDGAM,2001,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,CRIME JAMMU,2001,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,CRIME SRINAGAR,2001,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,DODA,2001,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,GANDERBAL,2001,0,0,1,0,0,0,0,0,0,0,0,1
JAMMU & KASHMIR,JAMMU,2001,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,KARGIL,2001,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,KATHUA,2001,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,KULGAM,2001,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,KUPWARA,2001,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,LEH,2001,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,POONCH,2001,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,PULWAMA,2001,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,RAILWAYS,2001,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,RAJOURI,2001,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,RAMBAN,2001,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,REASI,2001,0,0,0,0,0,1,0,0,0,0,0,1
JAMMU & KASHMIR,SRINAGAR,2001,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,UDHAMPUR,2001,1,3,0,0,0,2,0,0,0,0,0,6
JAMMU & KASHMIR,TOTAL,2001,2,6,15,0,0,4,0,0,0,0,1,28
JHARKHAND,BOKARO,2001,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,CHAIBASA,2001,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,CHATRA,2001,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,DEOGHAR,2001,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,DHANBAD,2001,1,5,1,0,0,0,0,0,0,0,6,13
JHARKHAND,DHANBAD RLY.,2001,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,DUMKA,2001,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,GARHWA,2001,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,GIRIDIH,2001,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,GODDA,2001,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,GUMALA,2001,1,5,3,0,0,0,0,0,0,0,6,15
JHARKHAND,HAZARIBAGH,2001,3,0,0,0,0,0,0,0,0,0,1,4
JHARKHAND,JAMSHEDPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,JAMSHEDPUR RLY.,2001,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,JAMTARA,2001,0,1,0,0,0,0,1,0,0,0,7,9
JHARKHAND,KODERMA,2001,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,LATEHAR,2001,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,LOHARDAGGA,2001,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,PAKUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,PALAMU,2001,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,RANCHI,2001,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,SAHEBGANJ,2001,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,SARAIKELA,2001,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,SIMDEGA,2001,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,TOTAL,2001,5,11,4,0,0,0,1,0,0,0,20,41
KARNATAKA,BAGALKOT,2001,0,0,3,0,0,0,0,0,0,0,0,3
KARNATAKA,BANGALORE COMMR.,2001,0,4,1,0,0,0,0,0,0,0,1,6
KARNATAKA,BANGALORE RURAL,2001,0,0,2,0,0,0,1,0,0,0,0,3
KARNATAKA,BELGAUM,2001,0,3,0,0,0,4,0,0,0,0,2,9
KARNATAKA,BELLARY,2001,0,4,0,0,0,0,0,0,0,0,0,4
KARNATAKA,BIDAR,2001,0,1,0,0,0,7,0,0,0,0,0,8
KARNATAKA,BIJAPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,CHAMARAJNAGAR,2001,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,CHICKMAGALUR,2001,0,0,1,0,0,0,0,0,0,0,0,1
KARNATAKA,CHITRADURGA,2001,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,DAKSHIN KANNADA,2001,0,0,0,0,0,0,0,0,0,0,1,1
KARNATAKA,DAVANAGERE,2001,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,DHARWAD COMMR.,2001,0,3,4,1,0,0,0,0,0,0,0,8
KARNATAKA,DHARWAD RURAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,GADAG,2001,0,0,0,0,0,0,0,0,0,0,1,1
KARNATAKA,GULBARGA,2001,0,0,0,0,0,3,0,0,2,0,1,6
KARNATAKA,HASSAN,2001,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,HAVERI,2001,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,K.G.F.,2001,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,KODAGU,2001,0,0,1,0,0,0,0,0,0,0,0,1
KARNATAKA,KOLAR,2001,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,KOPPAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,MANDYA,2001,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,MYSORE COMMR.,2001,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,MYSORE RURAL,2001,0,0,3,0,0,0,0,0,0,0,0,3
KARNATAKA,RAICHUR,2001,3,3,1,0,0,1,0,0,0,1,1,10
KARNATAKA,RAILWAYS,2001,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,SHIMOGA,2001,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,TUMKUR,2001,0,0,2,0,0,0,0,0,0,0,2,4
KARNATAKA,UDUPI,2001,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,UTTAR KANNADA,2001,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,TOTAL,2001,3,18,18,1,0,15,1,0,2,1,9,68
KERALA,ALAPUZHA,2001,2,0,0,0,0,0,0,0,0,0,0,2
KERALA,CBCID,2001,0,0,0,0,0,0,0,0,0,0,0,0
KERALA,ERNAKULAM,2001,5,7,1,0,0,0,0,0,0,0,0,13
KERALA,IDUKKI,2001,9,4,2,0,0,0,0,0,0,0,1,16
KERALA,KANNUR,2001,5,3,2,0,0,0,0,0,0,0,4,14
KERALA,KASARGOD,2001,1,2,0,0,0,0,0,0,0,0,0,3
KERALA,KOLLAM,2001,12,4,4,0,0,0,0,0,0,0,23,43
KERALA,KOTTAYAM,2001,3,3,5,0,0,2,0,0,0,0,0,13
KERALA,KOZHIKODE,2001,7,3,0,0,0,0,0,0,0,0,8,18
KERALA,MALAPPURAM,2001,2,1,3,0,0,0,0,0,0,2,5,13
KERALA,PALAKKAD,2001,17,11,1,0,0,5,0,0,0,0,9,43
KERALA,PATHANAMTHITTA,2001,1,3,1,0,0,2,2,0,0,0,2,11
KERALA,RAILWAYS,2001,0,0,0,0,0,0,0,0,0,0,0,0
KERALA,THRISSUR,2001,3,7,0,0,0,0,0,0,0,0,2,12
KERALA,TRIVANDRUM,2001,5,15,8,0,0,0,2,0,0,1,5,36
KERALA,WAYANADU,2001,4,1,1,0,0,0,0,0,0,0,4,10
KERALA,TOTAL,2001,76,64,28,0,0,9,4,0,0,3,63,247
MADHYA PRADESH,BALAGHAT,2001,0,11,0,0,0,0,0,0,0,0,10,21
MADHYA PRADESH,BARWANI,2001,0,0,0,0,0,0,0,0,0,0,15,15
MADHYA PRADESH,BETUL,2001,0,21,0,0,0,0,0,0,0,0,7,28
MADHYA PRADESH,BHIND,2001,6,6,16,0,0,1,0,0,0,1,76,106
MADHYA PRADESH,BHOPAL,2001,5,25,6,2,2,5,1,0,0,0,56,102
MADHYA PRADESH,BHOPAL RLY.,2001,0,0,3,0,0,0,0,0,0,0,3,6
MADHYA PRADESH,CHHATARPUR,2001,1,14,11,0,0,2,0,0,0,0,26,54
MADHYA PRADESH,CHHINDWARA,2001,0,0,0,0,0,1,0,0,0,0,3,4
MADHYA PRADESH,DAMOH,2001,0,13,0,0,0,0,0,0,0,0,15,28
MADHYA PRADESH,DATIYA,2001,2,2,0,0,0,0,0,0,0,0,6,10
MADHYA PRADESH,DEWAS,2001,0,0,0,0,0,0,0,0,0,1,20,21
MADHYA PRADESH,DHAR,2001,7,5,2,0,0,2,0,0,0,0,2,18
MADHYA PRADESH,DINDORI,2001,0,6,0,0,0,0,0,0,0,0,1,7
MADHYA PRADESH,GUNA,2001,2,13,0,0,0,0,0,0,0,0,1,16
