area_name,year,group_name,sub_group_name,trial_of_violent_crimes_by_courts_by_confession,trial_of_violent_crimes_by_courts_by_trial,trial_of_violent_crimes_by_courts_total
Uttar Pradesh,2002,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,1247,1247
Uttarakhand,2002,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,43,43
West Bengal,2002,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,391,391
Andhra Pradesh,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,126,126
Arunachal Pradesh,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,0,0
Assam,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,1,23,24
Bihar,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,212,212
Chandigarh,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,2,2
Chhattisgarh,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,22,22
Dadra & Nagar Haveli,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,1,1
Daman & Diu,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,0,0
Delhi,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,31,31
Goa,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,4,4
Gujarat,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,9,9
Haryana,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,93,93
Himachal Pradesh,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,7,7
Jammu & Kashmir,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,10,10
Jharkhand,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,1,96,97
Karnataka,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,42,42
Kerala,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,79,79
Madhya Pradesh,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,172,172
Maharashtra,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,63,63
Meghalaya,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,1,1
Mizoram,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,1,2,3
Nagaland,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,5,5
Odisha,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,97,97
Punjab,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,73,73
Rajasthan,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,47,47
Sikkim,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,2,2
Tamil Nadu,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,30,30
Tripura,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,1,1
Uttar Pradesh,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,1369,1369
Uttarakhand,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,42,42
West Bengal,2003,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,4,423,427
Andaman & Nicobar Islands,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,1,1
Andhra Pradesh,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,195,195
Arunachal Pradesh,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,2,2
Assam,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,2,29,31
Bihar,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,161,161
Chandigarh,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,4,4
Chhattisgarh,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,3,30,33
Delhi,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,66,66
Goa,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,3,3
Gujarat,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,6,6
Haryana,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,66,66
Himachal Pradesh,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,8,8
Jammu & Kashmir,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,10,10
Jharkhand,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,3,94,97
Karnataka,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,60,60
Kerala,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,113,113
Madhya Pradesh,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,153,153
Maharashtra,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,59,59
Manipur,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,0,0
Meghalaya,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,0,0
Mizoram,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,2,8,10
Nagaland,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,6,2,8
Odisha,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,74,74
Puducherry,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,2,2
Punjab,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,33,41,74
Rajasthan,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,54,54
Sikkim,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,2,2
Tamil Nadu,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,14,14
Tripura,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,,
Uttar Pradesh,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,1341,1341
Uttarakhand,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,49,49
West Bengal,2004,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,2,293,295
Andaman & Nicobar Islands,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,1,1
Andhra Pradesh,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,98,98
Arunachal Pradesh,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,0,0
Assam,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,1,33,34
Bihar,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,222,222
Chandigarh,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,0,0
Chhattisgarh,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,8,34,42
Delhi,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,124,124
Goa,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,4,4
Gujarat,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,11,11
Haryana,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,63,63
Himachal Pradesh,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,6,6
Jammu & Kashmir,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,14,14
Jharkhand,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,2,107,109
Karnataka,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,1,61,62
Kerala,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,41,41
Madhya Pradesh,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,108,108
Maharashtra,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,96,96
Manipur,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,0,0
Meghalaya,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,2,2
Mizoram,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,2,2
Nagaland,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,6,6
Odisha,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,46,46
Puducherry,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,2,2
Punjab,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,65,65
Rajasthan,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,34,34
Sikkim,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,2,2
Tamil Nadu,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,31,31
Uttar Pradesh,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,1346,1346
Uttarakhand,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,26,26
West Bengal,2005,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,300,300
Andhra Pradesh,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,141,141
Arunachal Pradesh,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,0,0
Assam,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,2,66,68
Bihar,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,30,276,306
Chandigarh,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,6,6
Chhattisgarh,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,8,14,22
Dadra & Nagar Haveli,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,0,0
Delhi,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,159,159
Goa,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,5,5
Gujarat,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,1,15,16
Haryana,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,52,52
Himachal Pradesh,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,9,9
Jammu & Kashmir,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,29,29
Jharkhand,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,74,74
Karnataka,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,58,58
Kerala,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,68,68
Madhya Pradesh,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,92,92
Maharashtra,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,93,93
Manipur,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,0,0
Meghalaya,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,1,2,3
Mizoram,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,7,7
Nagaland,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,2,2
Odisha,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,51,51
Puducherry,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,4,4
Punjab,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,74,74
Rajasthan,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,56,56
Tamil Nadu,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,2,23,25
Uttar Pradesh,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,1349,1349
Uttarakhand,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,30,30
West Bengal,2006,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,504,504
Andaman & Nicobar Islands,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,2,2
Andhra Pradesh,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,119,119
Arunachal Pradesh,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,0,0
Assam,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,5,45,50
Bihar,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,241,241
Chandigarh,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,7,7
Chhattisgarh,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,6,4,10
Daman & Diu,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,0,0
Delhi,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,146,146
Goa,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,3,3
Gujarat,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,10,10
Haryana,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,57,57
Himachal Pradesh,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,6,6
Jammu & Kashmir,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,28,28
Jharkhand,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,133,133
Karnataka,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,73,73
Kerala,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,55,55
Madhya Pradesh,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,121,121
Maharashtra,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,41,41
Manipur,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,0,0
Meghalaya,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,3,3
Mizoram,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,2,2
Nagaland,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,5,5
Odisha,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,29,29
Puducherry,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,8,8
Punjab,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,74,74
Rajasthan,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,50,50
Tamil Nadu,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,1,19,20
Tripura,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,1,1
Uttar Pradesh,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,1279,1279
Uttarakhand,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,37,37
West Bengal,2007,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,308,308
Andhra Pradesh,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,102,102
Arunachal Pradesh,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,0,0
Assam,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,7,63,70
Bihar,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,220,220
Chandigarh,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,2,2
Chhattisgarh,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,4,8,12
Delhi,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,43,43
Goa,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,2,2
Gujarat,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,12,12
Haryana,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,55,55
Himachal Pradesh,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,8,8
Jammu & Kashmir,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,6,6
Jharkhand,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,5,124,129
Karnataka,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,6,55,61
Kerala,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,51,51
Madhya Pradesh,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,265,265
Maharashtra,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,68,68
Manipur,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,0,0
Meghalaya,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,2,2
Mizoram,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,1,0,1
Nagaland,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,2,3,5
Odisha,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,46,46
Puducherry,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,2,2
Punjab,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,69,69
Rajasthan,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,36,36
Tamil Nadu,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,22,22
Uttar Pradesh,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,1157,1157
Uttarakhand,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,33,33
West Bengal,2008,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,312,312
Andhra Pradesh,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,97,97
Arunachal Pradesh,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,0,0
Assam,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,2,16,18
Bihar,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,199,199
Chandigarh,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,9,9
Chhattisgarh,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,7,19,26
Delhi,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,71,71
Goa,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,4,4
Gujarat,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,11,11
Haryana,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,58,58
Himachal Pradesh,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,12,12
Jammu & Kashmir,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,15,15
Jharkhand,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,85,85
Karnataka,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,6,55,61
Kerala,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,38,38
Madhya Pradesh,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,186,186
Maharashtra,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,1,48,49
Manipur,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,0,0
Meghalaya,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,4,4
Mizoram,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,4,2,6
Nagaland,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,2,6,8
Odisha,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,37,37
Puducherry,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,3,3
Punjab,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,87,87
Sikkim,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,1,1
Tamil Nadu,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,21,21
Tripura,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,1,1
Uttar Pradesh,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,1233,1233
Uttarakhand,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,40,40
West Bengal,2009,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,1,227,228
Andhra Pradesh,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,129,129
Arunachal Pradesh,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,0,0
Assam,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,1,11,12
Bihar,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,193,193
Chandigarh,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,12,12
Chhattisgarh,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,2,10,12
Daman & Diu,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,0,0
Delhi,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,1,74,75
Goa,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,8,8
Gujarat,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,12,12
Haryana,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,51,51
Himachal Pradesh,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,5,5
Jammu & Kashmir,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,16,16
Jharkhand,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,25,25
Karnataka,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,55,55
Kerala,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,47,47
Madhya Pradesh,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,180,180
Maharashtra,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,49,49
Manipur,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,0,0
Meghalaya,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,4,4
Mizoram,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,8,8
Nagaland,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,2,2
Odisha,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,46,46
Puducherry,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,6,6
Punjab,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,91,91
Rajasthan,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,30,30
Tamil Nadu,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,24,24
Tripura,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,3,3
Uttar Pradesh,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,0,1392,1392
Uttarakhand,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,,58,58
West Bengal,2010,TVC- C.H. not Amounting to Murder,03. C H Not Amounting to Murder,2,234,236
Andhra Pradesh,2001,TVC- Dacoity,06. Dacoity,0,419,419
Arunachal Pradesh,2001,TVC- Dacoity,06. Dacoity,0,2,2
Assam,2001,TVC- Dacoity,06. Dacoity,10,210,220
Bihar,2001,TVC- Dacoity,06. Dacoity,0,915,915
Chandigarh,2001,TVC- Dacoity,06. Dacoity,0,1,1
Chhattisgarh,2001,TVC- Dacoity,06. Dacoity,8,21,29
Delhi,2001,TVC- Dacoity,06. Dacoity,,5,5
Goa,2001,TVC- Dacoity,06. Dacoity,,11,11
Gujarat,2001,TVC- Dacoity,06. Dacoity,0,92,92
Haryana,2001,TVC- Dacoity,06. Dacoity,0,72,72
Himachal Pradesh,2001,TVC- Dacoity,06. Dacoity,0,2,2
Jammu & Kashmir,2001,TVC- Dacoity,06. Dacoity,0,5,5
Jharkhand,2001,TVC- Dacoity,06. Dacoity,3,270,273
Karnataka,2001,TVC- Dacoity,06. Dacoity,0,153,153
Kerala,2001,TVC- Dacoity,06. Dacoity,1,18,19
Madhya Pradesh,2001,TVC- Dacoity,06. Dacoity,,102,102
Maharashtra,2001,TVC- Dacoity,06. Dacoity,1,269,270
Manipur,2001,TVC- Dacoity,06. Dacoity,,1,1
Meghalaya,2001,TVC- Dacoity,06. Dacoity,4,12,16
Mizoram,2001,TVC- Dacoity,06. Dacoity,1,0,1
Nagaland,2001,TVC- Dacoity,06. Dacoity,3,2,5
Odisha,2001,TVC- Dacoity,06. Dacoity,0,238,238
Punjab,2001,TVC- Dacoity,06. Dacoity,,22,22
Rajasthan,2001,TVC- Dacoity,06. Dacoity,,105,105
Sikkim,2001,TVC- Dacoity,06. Dacoity,,1,1
Tamil Nadu,2001,TVC- Dacoity,06. Dacoity,2,119,121
Tripura,2001,TVC- Dacoity,06. Dacoity,,32,32
Uttar Pradesh,2001,TVC- Dacoity,06. Dacoity,,737,737
Uttarakhand,2001,TVC- Dacoity,06. Dacoity,1,32,33
West Bengal,2001,TVC- Dacoity,06. Dacoity,0,170,170
Andhra Pradesh,2002,TVC- Dacoity,06. Dacoity,0,397,397
Arunachal Pradesh,2002,TVC- Dacoity,06. Dacoity,,1,1
Assam,2002,TVC- Dacoity,06. Dacoity,10,149,159
Bihar,2002,TVC- Dacoity,06. Dacoity,1,856,857
Chandigarh,2002,TVC- Dacoity,06. Dacoity,0,0,0
Chhattisgarh,2002,TVC- Dacoity,06. Dacoity,23,25,48
Daman & Diu,2002,TVC- Dacoity,06. Dacoity,0,0,0
Delhi,2002,TVC- Dacoity,06. Dacoity,0,230,230
Gujarat,2002,TVC- Dacoity,06. Dacoity,5,89,94
Haryana,2002,TVC- Dacoity,06. Dacoity,0,76,76
Himachal Pradesh,2002,TVC- Dacoity,06. Dacoity,0,2,2
Jammu & Kashmir,2002,TVC- Dacoity,06. Dacoity,0,4,4
Jharkhand,2002,TVC- Dacoity,06. Dacoity,34,347,381
Karnataka,2002,TVC- Dacoity,06. Dacoity,0,113,113
Kerala,2002,TVC- Dacoity,06. Dacoity,,24,24
Madhya Pradesh,2002,TVC- Dacoity,06. Dacoity,0,112,112
Maharashtra,2002,TVC- Dacoity,06. Dacoity,0,351,351
Manipur,2002,TVC- Dacoity,06. Dacoity,,1,1
Meghalaya,2002,TVC- Dacoity,06. Dacoity,0,17,17
Mizoram,2002,TVC- Dacoity,06. Dacoity,2,4,6
Nagaland,2002,TVC- Dacoity,06. Dacoity,0,3,3
