area_name,year,group_name,sub_group_name,cases_property_recovered,cases_property_stolen,value_of_property_recovered,value_of_property_stolen
Andaman & Nicobar Islands,2001,Burglary - Property,3. Burglary,27,64,755858,1321961
Andhra Pradesh,2001,Burglary - Property,3. Burglary,3321,7134,51483437,147019348
Arunachal Pradesh,2001,Burglary - Property,3. Burglary,66,248,825115,4931904
Assam,2001,Burglary - Property,3. Burglary,539,2423,3722850,21466955
Bihar,2001,Burglary - Property,3. Burglary,367,3231,2327135,17023937
Chandigarh,2001,Burglary - Property,3. Burglary,119,364,1804823,10217378
Chhattisgarh,2001,Burglary - Property,3. Burglary,1169,4144,6518261,30457033
Dadra & Nagar Haveli,2001,Burglary - Property,3. Burglary,10,34,247140,1333389
Daman & Diu,2001,Burglary - Property,3. Burglary,7,43,479300,2084845
Delhi,2001,Burglary - Property,3. Burglary,642,3029,39632177,150033824
Goa,2001,Burglary - Property,3. Burglary,65,347,895875,9991574
Gujarat,2001,Burglary - Property,3. Burglary,1124,4928,20821285,141650158
Haryana,2001,Burglary - Property,3. Burglary,1257,3098,27369980,64576543
Himachal Pradesh,2001,Burglary - Property,3. Burglary,93,812,2936881,17092490
Jammu & Kashmir,2001,Burglary - Property,3. Burglary,161,1345,2905184,27222163
Jharkhand,2001,Burglary - Property,3. Burglary,186,1150,757019,9552273
Karnataka,2001,Burglary - Property,3. Burglary,1768,6394,42221208,139393376
Kerala,2001,Burglary - Property,3. Burglary,815,4185,21414046,131614945
Lakshadweep,2001,Burglary - Property,3. Burglary,0,1,0,12000
Madhya Pradesh,2001,Burglary - Property,3. Burglary,3526,13549,31332930,118549565
Maharashtra,2001,Burglary - Property,3. Burglary,3595,13881,62519296,444283747
Manipur,2001,Burglary - Property,3. Burglary,3,75,58311,2658341
Meghalaya,2001,Burglary - Property,3. Burglary,50,170,324600,1354414
Mizoram,2001,Burglary - Property,3. Burglary,188,417,1595997,3249203
Nagaland,2001,Burglary - Property,3. Burglary,21,84,1413954,6922133
Odisha,2001,Burglary - Property,3. Burglary,1388,3061,8474685,46361453
Puducherry,2001,Burglary - Property,3. Burglary,34,111,549650,2857023
Punjab,2001,Burglary - Property,3. Burglary,721,1902,14056644,73809455
Rajasthan,2001,Burglary - Property,3. Burglary,1926,6867,35754908,117399424
Sikkim,2001,Burglary - Property,3. Burglary,16,71,217600,861706
Tamil Nadu,2001,Burglary - Property,3. Burglary,3227,5919,51446376,124908287
Tripura,2001,Burglary - Property,3. Burglary,42,198,358200,3156795
Uttar Pradesh,2001,Burglary - Property,3. Burglary,1081,6953,542439850,664903989
Uttarakhand,2001,Burglary - Property,3. Burglary,78,533,1005993,9915454
West Bengal,2001,Burglary - Property,3. Burglary,100,426,3066048,12787328
Andaman & Nicobar Islands,2002,Burglary - Property,3. Burglary,13,49,201275,491892
Andhra Pradesh,2002,Burglary - Property,3. Burglary,3166,7581,61296964,176224716
Arunachal Pradesh,2002,Burglary - Property,3. Burglary,66,249,4414636,8057641
Assam,2002,Burglary - Property,3. Burglary,484,2504,3594961,22146550
Bihar,2002,Burglary - Property,3. Burglary,371,3182,2490854,20176572
Chandigarh,2002,Burglary - Property,3. Burglary,83,336,3310301,13967262
Chhattisgarh,2002,Burglary - Property,3. Burglary,902,3731,6998830,30830441
Dadra & Nagar Haveli,2002,Burglary - Property,3. Burglary,13,38,1145571,2525660
Daman & Diu,2002,Burglary - Property,3. Burglary,14,56,2429100,4539519
Delhi,2002,Burglary - Property,3. Burglary,843,2360,7695881,131034713
Goa,2002,Burglary - Property,3. Burglary,74,359,1753917,12622949
Gujarat,2002,Burglary - Property,3. Burglary,1183,5153,21424048,181149074
Haryana,2002,Burglary - Property,3. Burglary,1360,3048,28293801,66317650
Himachal Pradesh,2002,Burglary - Property,3. Burglary,121,642,1595224,84519165
Jammu & Kashmir,2002,Burglary - Property,3. Burglary,167,1321,3479429,31854450
Jharkhand,2002,Burglary - Property,3. Burglary,220,1419,1208261,10289240
Karnataka,2002,Burglary - Property,3. Burglary,1987,6480,61391062,178997480
Kerala,2002,Burglary - Property,3. Burglary,928,4447,20039092,197320724
Lakshadweep,2002,Burglary - Property,3. Burglary,2,9,26795,115645
Madhya Pradesh,2002,Burglary - Property,3. Burglary,4107,13344,31684582,139525244
Maharashtra,2002,Burglary - Property,3. Burglary,3634,13273,73463306,468021474
Manipur,2002,Burglary - Property,3. Burglary,1,44,9525,4136635
Meghalaya,2002,Burglary - Property,3. Burglary,18,153,235630,2883366
Mizoram,2002,Burglary - Property,3. Burglary,217,446,2257657,13007402
Nagaland,2002,Burglary - Property,3. Burglary,34,110,413370,4121381
Odisha,2002,Burglary - Property,3. Burglary,1087,2755,11344562,44470276
Puducherry,2002,Burglary - Property,3. Burglary,38,129,1135868,3208215
Punjab,2002,Burglary - Property,3. Burglary,770,1928,18281270,77239545
Rajasthan,2002,Burglary - Property,3. Burglary,1855,6300,38679925,112170907
Sikkim,2002,Burglary - Property,3. Burglary,9,45,24600,171030
Tamil Nadu,2002,Burglary - Property,3. Burglary,2953,5492,45654971,115086173
Tripura,2002,Burglary - Property,3. Burglary,39,192,276519,3096253
Uttar Pradesh,2002,Burglary - Property,3. Burglary,1028,4861,36078709,121312730
Uttarakhand,2002,Burglary - Property,3. Burglary,113,496,3509806,14733698
West Bengal,2002,Burglary - Property,3. Burglary,128,348,1701319,14912291
Andaman & Nicobar Islands,2003,Burglary - Property,3. Burglary,16,56,681962,1068059
Andhra Pradesh,2003,Burglary - Property,3. Burglary,3475,8969,64794798,195788844
Arunachal Pradesh,2003,Burglary - Property,3. Burglary,83,253,12276582,18114179
Assam,2003,Burglary - Property,3. Burglary,509,2606,4036694,19841323
Bihar,2003,Burglary - Property,3. Burglary,305,2986,1719760,19821137
Chandigarh,2003,Burglary - Property,3. Burglary,85,204,1336159,7223758
Chhattisgarh,2003,Burglary - Property,3. Burglary,968,3621,8190813,38433339
Dadra & Nagar Haveli,2003,Burglary - Property,3. Burglary,12,41,3336861,6259345
Daman & Diu,2003,Burglary - Property,3. Burglary,5,41,141411,1419192
Delhi,2003,Burglary - Property,3. Burglary,758,1898,4268081,84069640
Goa,2003,Burglary - Property,3. Burglary,109,244,2170727,10457254
Gujarat,2003,Burglary - Property,3. Burglary,1334,5684,27303140,186884277
Haryana,2003,Burglary - Property,3. Burglary,1411,2967,35400318,68528246
Himachal Pradesh,2003,Burglary - Property,3. Burglary,105,645,1556198,13237009
Jammu & Kashmir,2003,Burglary - Property,3. Burglary,224,1526,5203336,40211927
Jharkhand,2003,Burglary - Property,3. Burglary,192,1374,1175731,10735942
Karnataka,2003,Burglary - Property,3. Burglary,1530,6049,36028899,147855476
Kerala,2003,Burglary - Property,3. Burglary,1053,4164,18605342,136448825
Lakshadweep,2003,Burglary - Property,3. Burglary,0,6,0,65000
Madhya Pradesh,2003,Burglary - Property,3. Burglary,3589,12641,29830876,155291507
Maharashtra,2003,Burglary - Property,3. Burglary,3766,13202,65230975,635796246
Manipur,2003,Burglary - Property,3. Burglary,1,68,1800,3049066
Meghalaya,2003,Burglary - Property,3. Burglary,13,160,156430,75269392
Mizoram,2003,Burglary - Property,3. Burglary,268,487,3079379,4920998
Nagaland,2003,Burglary - Property,3. Burglary,19,82,603404,2172262
Odisha,2003,Burglary - Property,3. Burglary,1231,2910,13996401,48730506
Puducherry,2003,Burglary - Property,3. Burglary,56,126,1679750,6744373
Punjab,2003,Burglary - Property,3. Burglary,797,2094,19620531,86923821
Rajasthan,2003,Burglary - Property,3. Burglary,1588,5779,50150183,129565091
Sikkim,2003,Burglary - Property,3. Burglary,7,48,318439,1546492
Tamil Nadu,2003,Burglary - Property,3. Burglary,2877,4849,55816582,111017636
Tripura,2003,Burglary - Property,3. Burglary,19,167,246425,2391169
Uttar Pradesh,2003,Burglary - Property,3. Burglary,752,2928,142320613,190722347
Uttarakhand,2003,Burglary - Property,3. Burglary,122,513,3045988,11715052
West Bengal,2003,Burglary - Property,3. Burglary,101,342,2966663,11762330
Andaman & Nicobar Islands,2004,Burglary - Property,3. Burglary,30,69,1779879,3208951
Andhra Pradesh,2004,Burglary - Property,3. Burglary,3451,8041,61730107,216381714
Arunachal Pradesh,2004,Burglary - Property,3. Burglary,41,215,1129291,6750572
Assam,2004,Burglary - Property,3. Burglary,414,2544,6262774,46224544
Bihar,2004,Burglary - Property,3. Burglary,277,3175,2380067,24846468
Chandigarh,2004,Burglary - Property,3. Burglary,75,186,1438860,11436390
Chhattisgarh,2004,Burglary - Property,3. Burglary,1151,3720,6060825,40581456
Dadra & Nagar Haveli,2004,Burglary - Property,3. Burglary,5,20,350014,1038871
Daman & Diu,2004,Burglary - Property,3. Burglary,8,35,99100,2489725
Delhi,2004,Burglary - Property,3. Burglary,772,1875,3181843,133196885
Goa,2004,Burglary - Property,3. Burglary,81,245,2210814,14288368
Gujarat,2004,Burglary - Property,3. Burglary,1308,5670,34432089,211383452
Haryana,2004,Burglary - Property,3. Burglary,1245,2779,32863180,67073579
Himachal Pradesh,2004,Burglary - Property,3. Burglary,148,722,4852642,20825219
Jammu & Kashmir,2004,Burglary - Property,3. Burglary,235,1420,8519470,34785380
Jharkhand,2004,Burglary - Property,3. Burglary,220,1419,1208261,10289240
Karnataka,2004,Burglary - Property,3. Burglary,1695,6093,50828582,174253060
Kerala,2004,Burglary - Property,3. Burglary,1126,4359,26572753,151987763
Lakshadweep,2004,Burglary - Property,3. Burglary,0,2,0,2160
Madhya Pradesh,2004,Burglary - Property,3. Burglary,3943,12130,33345035,145505628
Maharashtra,2004,Burglary - Property,3. Burglary,3952,13896,141098005,544644465
Manipur,2004,Burglary - Property,3. Burglary,6,66,851177,2760756
Meghalaya,2004,Burglary - Property,3. Burglary,19,130,245154,1991361
Mizoram,2004,Burglary - Property,3. Burglary,180,250,575000,758220
Nagaland,2004,Burglary - Property,3. Burglary,13,52,140245,1246138
Odisha,2004,Burglary - Property,3. Burglary,1127,2990,13227198,52807227
Puducherry,2004,Burglary - Property,3. Burglary,48,86,1419510,2828010
Punjab,2004,Burglary - Property,3. Burglary,666,1766,16682669,91624075
Rajasthan,2004,Burglary - Property,3. Burglary,1588,5619,39415095,108989033
Sikkim,2004,Burglary - Property,3. Burglary,12,64,397673,1054933
Tamil Nadu,2004,Burglary - Property,3. Burglary,2679,4147,76752113,124839785
Tripura,2004,Burglary - Property,3. Burglary,36,166,1348165,4918835
Uttar Pradesh,2004,Burglary - Property,3. Burglary,972,4192,99202552,173330606
Uttarakhand,2004,Burglary - Property,3. Burglary,100,516,3700267,14665091
West Bengal,2004,Burglary - Property,3. Burglary,129,547,3076728,12198178
Andaman & Nicobar Islands,2005,Burglary - Property,3. Burglary,25,68,705419,3418391
Andhra Pradesh,2005,Burglary - Property,3. Burglary,3578,7894,92930221,240127856
Arunachal Pradesh,2005,Burglary - Property,3. Burglary,56,263,1185696,7275247
Assam,2005,Burglary - Property,3. Burglary,523,2255,7068609,29458429
Bihar,2005,Burglary - Property,3. Burglary,311,3117,3584517,34869204
Chandigarh,2005,Burglary - Property,3. Burglary,105,223,2806616,7108230
Chhattisgarh,2005,Burglary - Property,3. Burglary,1186,3621,11063089,51741764
Dadra & Nagar Haveli,2005,Burglary - Property,3. Burglary,9,25,5162150,6257250
Daman & Diu,2005,Burglary - Property,3. Burglary,5,37,365000,2514680
Delhi,2005,Burglary - Property,3. Burglary,871,2093,8172281,198019747
Goa,2005,Burglary - Property,3. Burglary,71,257,1909368,13803082
Gujarat,2005,Burglary - Property,3. Burglary,1188,5140,67616775,254373304
Haryana,2005,Burglary - Property,3. Burglary,1527,3425,42714747,81885034
Himachal Pradesh,2005,Burglary - Property,3. Burglary,136,691,4125018,22867849
Jammu & Kashmir,2005,Burglary - Property,3. Burglary,209,1397,4920818,36077553
Jharkhand,2005,Burglary - Property,3. Burglary,259,1600,2045450,39496852
Karnataka,2005,Burglary - Property,3. Burglary,1688,5986,59175016,261321837
Kerala,2005,Burglary - Property,3. Burglary,939,3914,18941597,187698662
Lakshadweep,2005,Burglary - Property,3. Burglary,1,2,8410,20410
Madhya Pradesh,2005,Burglary - Property,3. Burglary,3607,11192,43951572,154604344
Maharashtra,2005,Burglary - Property,3. Burglary,4058,14735,99149466,619891309
Manipur,2005,Burglary - Property,3. Burglary,3,62,95970,3075030
Meghalaya,2005,Burglary - Property,3. Burglary,19,137,186546,1263497
Mizoram,2005,Burglary - Property,3. Burglary,289,442,9467342,14738682
Nagaland,2005,Burglary - Property,3. Burglary,17,93,545015,1278742
Odisha,2005,Burglary - Property,3. Burglary,1308,3029,14704375,61917823
Puducherry,2005,Burglary - Property,3. Burglary,42,67,1183747,2103597
Punjab,2005,Burglary - Property,3. Burglary,922,1933,38668978,98977795
Rajasthan,2005,Burglary - Property,3. Burglary,1657,5003,46405671,116980671
Sikkim,2005,Burglary - Property,3. Burglary,13,79,150690,1518042
Tamil Nadu,2005,Burglary - Property,3. Burglary,2568,3738,54017794,94231495
Tripura,2005,Burglary - Property,3. Burglary,31,170,1295865,4725332
Uttar Pradesh,2005,Burglary - Property,3. Burglary,853,3496,87349812,166454751
Uttarakhand,2005,Burglary - Property,3. Burglary,99,489,1348660,12112071
West Bengal,2005,Burglary - Property,3. Burglary,137,739,3379931,19919581
Andaman & Nicobar Islands,2006,Burglary - Property,3. Burglary,25,82,888107,2605702
Andhra Pradesh,2006,Burglary - Property,3. Burglary,3450,8169,142717661,310621897
Arunachal Pradesh,2006,Burglary - Property,3. Burglary,87,257,2558587,12667956
Assam,2006,Burglary - Property,3. Burglary,557,2911,9818045,35783913
Bihar,2006,Burglary - Property,3. Burglary,362,3531,3180927,36841471
Chandigarh,2006,Burglary - Property,3. Burglary,98,189,2923970,6810631
Chhattisgarh,2006,Burglary - Property,3. Burglary,1070,3507,8717499,74386571
Dadra & Nagar Haveli,2006,Burglary - Property,3. Burglary,12,41,971220,3752927
Daman & Diu,2006,Burglary - Property,3. Burglary,8,60,1405190,6367320
Delhi,2006,Burglary - Property,3. Burglary,893,1950,14994976,114401072
Goa,2006,Burglary - Property,3. Burglary,48,230,3338956,18460149
Gujarat,2006,Burglary - Property,3. Burglary,1405,5363,32600847,299427287
Haryana,2006,Burglary - Property,3. Burglary,1760,3996,41950479,107827743
Himachal Pradesh,2006,Burglary - Property,3. Burglary,136,732,6597727,31873315
Jammu & Kashmir,2006,Burglary - Property,3. Burglary,189,1351,3765294,32683515
Jharkhand,2006,Burglary - Property,3. Burglary,234,1428,2129927,21269610
Karnataka,2006,Burglary - Property,3. Burglary,1775,5967,63562444,234363867
Kerala,2006,Burglary - Property,3. Burglary,846,3948,26865098,237675908
Lakshadweep,2006,Burglary - Property,3. Burglary,1,2,10000,28200
Madhya Pradesh,2006,Burglary - Property,3. Burglary,3140,10729,35645450,175701398
Maharashtra,2006,Burglary - Property,3. Burglary,4012,14723,99357595,688724735
Manipur,2006,Burglary - Property,3. Burglary,0,55,0,3800658
Meghalaya,2006,Burglary - Property,3. Burglary,27,140,290370,3771145
Mizoram,2006,Burglary - Property,3. Burglary,269,408,3274525,15662205
Nagaland,2006,Burglary - Property,3. Burglary,25,68,958091,42221157
Odisha,2006,Burglary - Property,3. Burglary,1425,3118,17798514,84174508
Puducherry,2006,Burglary - Property,3. Burglary,46,84,1104955,2477094
Punjab,2006,Burglary - Property,3. Burglary,955,2277,25846606,115272477
Rajasthan,2006,Burglary - Property,3. Burglary,1678,4879,51924184,136663767
Sikkim,2006,Burglary - Property,3. Burglary,13,84,100500,2703436
Tamil Nadu,2006,Burglary - Property,3. Burglary,2291,3300,79307801,125033409
Tripura,2006,Burglary - Property,3. Burglary,115,182,2210714,4891139
Uttar Pradesh,2006,Burglary - Property,3. Burglary,880,3545,119979317,231897742
Uttarakhand,2006,Burglary - Property,3. Burglary,114,410,4488841,14234550
West Bengal,2006,Burglary - Property,3. Burglary,138,601,3981448,13223258
Andaman & Nicobar Islands,2007,Burglary - Property,3. Burglary,21,90,715116,3173066
Andhra Pradesh,2007,Burglary - Property,3. Burglary,3827,7609,85999945,265927102
Arunachal Pradesh,2007,Burglary - Property,3. Burglary,90,240,4211030,11311656
Assam,2007,Burglary - Property,3. Burglary,491,2603,5730761,36285212
Bihar,2007,Burglary - Property,3. Burglary,294,3259,3910175,56610107
Chandigarh,2007,Burglary - Property,3. Burglary,63,191,2197700,8182250
Chhattisgarh,2007,Burglary - Property,3. Burglary,1164,3632,11248886,52170119
Dadra & Nagar Haveli,2007,Burglary - Property,3. Burglary,6,28,684570,5444419
Daman & Diu,2007,Burglary - Property,3. Burglary,4,46,1918200,10058460
Delhi,2007,Burglary - Property,3. Burglary,981,2055,8374449,142856412
Goa,2007,Burglary - Property,3. Burglary,49,271,1468865,26963400
Gujarat,2007,Burglary - Property,3. Burglary,1230,4747,44679310,240405506
Haryana,2007,Burglary - Property,3. Burglary,1762,4231,48001068,150481239
Himachal Pradesh,2007,Burglary - Property,3. Burglary,144,831,4843695,35526149
Jammu & Kashmir,2007,Burglary - Property,3. Burglary,295,1458,9884179,43615181
Jharkhand,2007,Burglary - Property,3. Burglary,194,1489,2212553,23190276
Karnataka,2007,Burglary - Property,3. Burglary,1985,5449,75589467,266947170
Kerala,2007,Burglary - Property,3. Burglary,1035,3824,19975794,326981272
Lakshadweep,2007,Burglary - Property,3. Burglary,0,2,0,21500
Madhya Pradesh,2007,Burglary - Property,3. Burglary,3445,11230,37539294,199867229
Maharashtra,2007,Burglary - Property,3. Burglary,4120,14771,231671814,1034246567
Manipur,2007,Burglary - Property,3. Burglary,1,70,12000,4379199
Meghalaya,2007,Burglary - Property,3. Burglary,121,203,878586,6501195
Mizoram,2007,Burglary - Property,3. Burglary,279,424,9553498,18614005
Nagaland,2007,Burglary - Property,3. Burglary,12,118,175860,3649018
Odisha,2007,Burglary - Property,3. Burglary,1342,3073,12767910,93810550
Puducherry,2007,Burglary - Property,3. Burglary,36,86,970520,6656261
Punjab,2007,Burglary - Property,3. Burglary,1032,2616,31338421,167088865
Rajasthan,2007,Burglary - Property,3. Burglary,1634,4951,72297141,166591147
Sikkim,2007,Burglary - Property,3. Burglary,17,83,529090,2796950
Tamil Nadu,2007,Burglary - Property,3. Burglary,2613,3717,79980333,132086451
Tripura,2007,Burglary - Property,3. Burglary,38,193,2386125,7024543
Uttar Pradesh,2007,Burglary - Property,3. Burglary,996,3869,39582906,119989378
Uttarakhand,2007,Burglary - Property,3. Burglary,146,508,5773177,23893784
West Bengal,2007,Burglary - Property,3. Burglary,87,399,1788155,24526576
Andaman & Nicobar Islands,2008,Burglary - Property,3. Burglary,35,78,1671141,2940686
Andhra Pradesh,2008,Burglary - Property,3. Burglary,3832,8219,105204037,320442778
Arunachal Pradesh,2008,Burglary - Property,3. Burglary,92,245,2926035,7156154
Assam,2008,Burglary - Property,3. Burglary,666,3147,17965749,66185132
Bihar,2008,Burglary - Property,3. Burglary,288,3414,3698886,43776678
Chandigarh,2008,Burglary - Property,3. Burglary,98,257,2380893,12238993
Chhattisgarh,2008,Burglary - Property,3. Burglary,1227,4112,17704020,80298616
Dadra & Nagar Haveli,2008,Burglary - Property,3. Burglary,19,49,1794785,6242259
Daman & Diu,2008,Burglary - Property,3. Burglary,9,45,1340800,22602575
Delhi,2008,Burglary - Property,3. Burglary,485,1926,5796997,109940832
Goa,2008,Burglary - Property,3. Burglary,84,291,3630962,19170722
Gujarat,2008,Burglary - Property,3. Burglary,1430,4932,59048428,339401791
Haryana,2008,Burglary - Property,3. Burglary,1579,4249,42033932,125403133
Himachal Pradesh,2008,Burglary - Property,3. Burglary,151,872,9661388,41861345
Jammu & Kashmir,2008,Burglary - Property,3. Burglary,272,1332,11130990,59730434
Jharkhand,2008,Burglary - Property,3. Burglary,188,1375,1795681,21482618
Karnataka,2008,Burglary - Property,3. Burglary,1766,6258,94543552,466383124
Kerala,2008,Burglary - Property,3. Burglary,1037,3533,25512674,229243049
Lakshadweep,2008,Burglary - Property,3. Burglary,1,3,90000,170000
Madhya Pradesh,2008,Burglary - Property,3. Burglary,3600,11072,41839086,211486284
Maharashtra,2008,Burglary - Property,3. Burglary,4383,15170,157981978,1032152787
Manipur,2008,Burglary - Property,3. Burglary,1,76,8000,5093017
Meghalaya,2008,Burglary - Property,3. Burglary,58,166,1669387,10597971
Mizoram,2008,Burglary - Property,3. Burglary,242,337,3117519,4783226
Nagaland,2008,Burglary - Property,3. Burglary,15,120,311600,67628375
Odisha,2008,Burglary - Property,3. Burglary,1232,3064,18652216,108586553
Puducherry,2008,Burglary - Property,3. Burglary,50,90,3810322,5486940
Punjab,2008,Burglary - Property,3. Burglary,1170,2621,66341932,176012188
Rajasthan,2008,Burglary - Property,3. Burglary,1591,4526,64937309,156179875
Sikkim,2008,Burglary - Property,3. Burglary,17,81,277651,2678956
Tamil Nadu,2008,Burglary - Property,3. Burglary,2460,3849,81315722,148377321
Tripura,2008,Burglary - Property,3. Burglary,71,218,411025,8867006
Uttar Pradesh,2008,Burglary - Property,3. Burglary,1182,4142,294258481,402284871
Uttarakhand,2008,Burglary - Property,3. Burglary,144,376,3439522,17604646
West Bengal,2008,Burglary - Property,3. Burglary,109,462,9090647,26328271
Andaman & Nicobar Islands,2009,Burglary - Property,3. Burglary,29,86,2269980,4793680
Andhra Pradesh,2009,Burglary - Property,3. Burglary,3416,7702,106540830,372576517
Arunachal Pradesh,2009,Burglary - Property,3. Burglary,89,201,156360345,159726496
Assam,2009,Burglary - Property,3. Burglary,445,3149,12984924,56531036
Bihar,2009,Burglary - Property,3. Burglary,329,3566,4157497,55027421
Chandigarh,2009,Burglary - Property,3. Burglary,48,241,1786400,15450340
Chhattisgarh,2009,Burglary - Property,3. Burglary,1278,3975,23436476,107702392
Dadra & Nagar Haveli,2009,Burglary - Property,3. Burglary,13,43,1270375,4853240
Daman & Diu,2009,Burglary - Property,3. Burglary,7,33,3242500,7972502
Delhi,2009,Burglary - Property,3. Burglary,521,1733,30852082,252397901
Goa,2009,Burglary - Property,3. Burglary,71,283,7598920,33425540
Gujarat,2009,Burglary - Property,3. Burglary,1269,4385,54175506,284188989
Haryana,2009,Burglary - Property,3. Burglary,1470,4077,45697180,157613697
Himachal Pradesh,2009,Burglary - Property,3. Burglary,136,779,4198707,48552609
Jammu & Kashmir,2009,Burglary - Property,3. Burglary,332,1550,14636419,68121065
Jharkhand,2009,Burglary - Property,3. Burglary,211,1392,2696624,24899098
Karnataka,2009,Burglary - Property,3. Burglary,1865,6629,243264403,463183202
Kerala,2009,Burglary - Property,3. Burglary,1186,3301,246436586,429911619
Lakshadweep,2009,Burglary - Property,3. Burglary,0,1,0,300000
Madhya Pradesh,2009,Burglary - Property,3. Burglary,3123,10661,43077627,243536207
Maharashtra,2009,Burglary - Property,3. Burglary,4194,15145,149327777,1039474153
Manipur,2009,Burglary - Property,3. Burglary,2,68,120000,6881996
Meghalaya,2009,Burglary - Property,3. Burglary,40,135,873070,3509319
Mizoram,2009,Burglary - Property,3. Burglary,198,381,20729355,34010675
Nagaland,2009,Burglary - Property,3. Burglary,5,82,208400,5215330
Odisha,2009,Burglary - Property,3. Burglary,1029,2937,19859140,201568864
Puducherry,2009,Burglary - Property,3. Burglary,46,71,3401445,5541789
Punjab,2009,Burglary - Property,3. Burglary,1017,2507,66717698,195157605
Rajasthan,2009,Burglary - Property,3. Burglary,1654,5022,113439012,257626988
Sikkim,2009,Burglary - Property,3. Burglary,23,93,474910,4691401
Tamil Nadu,2009,Burglary - Property,3. Burglary,2670,4221,95741975,187905915
Tripura,2009,Burglary - Property,3. Burglary,56,230,1981425,6880296
Uttar Pradesh,2009,Burglary - Property,3. Burglary,1070,4084,48291629,149793453
Uttarakhand,2009,Burglary - Property,3. Burglary,127,276,4102913,14014734
West Bengal,2009,Burglary - Property,3. Burglary,70,329,2366488,26868906
Andaman & Nicobar Islands,2010,Burglary - Property,3. Burglary,34,80,657512,1955919
Andhra Pradesh,2010,Burglary - Property,3. Burglary,4125,8126,167645552,455774882
Arunachal Pradesh,2010,Burglary - Property,3. Burglary,68,211,5064245,13423241
Assam,2010,Burglary - Property,3. Burglary,316,3458,5554079,36025717
Bihar,2010,Burglary - Property,3. Burglary,337,3437,5194263,55766542
Chandigarh,2010,Burglary - Property,3. Burglary,86,236,2908560,13877193
Chhattisgarh,2010,Burglary - Property,3. Burglary,1190,3711,21946160,107637049
Dadra & Nagar Haveli,2010,Burglary - Property,3. Burglary,15,25,864969,1563407
Daman & Diu,2010,Burglary - Property,3. Burglary,7,27,608500,4866090
Delhi,2010,Burglary - Property,3. Burglary,434,1502,9959580,187493962
Goa,2010,Burglary - Property,3. Burglary,63,344,2767165,35912213
Gujarat,2010,Burglary - Property,3. Burglary,1085,3850,57003755,280852404
Haryana,2010,Burglary - Property,3. Burglary,1442,4445,46370810,165957683
Himachal Pradesh,2010,Burglary - Property,3. Burglary,131,743,16611843,61646681
Jammu & Kashmir,2010,Burglary - Property,3. Burglary,325,1385,12268021,61950557
Jharkhand,2010,Burglary - Property,3. Burglary,230,1357,5143505,30538107
Karnataka,2010,Burglary - Property,3. Burglary,2053,6059,190809043,358763287
Kerala,2010,Burglary - Property,3. Burglary,956,2468,93602702,232893329
Lakshadweep,2010,Burglary - Property,3. Burglary,1,3,13000,25000
Madhya Pradesh,2010,Burglary - Property,3. Burglary,3092,9897,57395236,283085880
Maharashtra,2010,Burglary - Property,3. Burglary,4536,15724,195337676,1330713671
Manipur,2010,Burglary - Property,3. Burglary,2,66,12660,4992852
Meghalaya,2010,Burglary - Property,3. Burglary,36,154,562599,4513197
Mizoram,2010,Burglary - Property,3. Burglary,309,425,2942515,6957888
Nagaland,2010,Burglary - Property,3. Burglary,12,62,231350,10350604
Odisha,2010,Burglary - Property,3. Burglary,1194,2855,20486035,160459113
Puducherry,2010,Burglary - Property,3. Burglary,44,72,1855074,3593876
Punjab,2010,Burglary - Property,3. Burglary,1275,2660,56491870,191928824
Rajasthan,2010,Burglary - Property,3. Burglary,1513,4454,104650678,222873182
Sikkim,2010,Burglary - Property,3. Burglary,16,72,257190,5633540
Tamil Nadu,2010,Burglary - Property,3. Burglary,2953,4715,120836243,247787824
Tripura,2010,Burglary - Property,3. Burglary,37,217,975680,5192214
Uttar Pradesh,2010,Burglary - Property,3. Burglary,1174,4073,68265034,231223128
Uttarakhand,2010,Burglary - Property,3. Burglary,135,294,4352459,19245615
West Bengal,2010,Burglary - Property,3. Burglary,115,388,12437625,35775423
Andaman & Nicobar Islands,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1,10,80000,1226967
Andhra Pradesh,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,40,316,3301479,45128264
Arunachal Pradesh,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,4,41,640000,31448136
Assam,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,37,374,1972335,18282901
Bihar,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,88,922,1340911,7779882
Chandigarh,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,18,26,1288000,1433500
Chhattisgarh,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,52,147,1672704,13069226
Dadra & Nagar Haveli,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,10,13,3702374,5411354
Daman & Diu,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2,5,910000,6773576
Delhi,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,147,479,9238685,177836353
Goa,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,7,20,1720400,86629777
Gujarat,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,559,1348,41218510,269095652
Haryana,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,411,530,12296549,23718405
