state_ut,crime_head,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_number_of_persons_under_trial_during_the_year,persons_against_whom_cases_were_compounded_or_withdrawn,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted,persons_acquitted
Rajasthan,Assault on Women wih intent to outrage her Modesty,6,4786,0,10,4782,14173,18955,771,15641,2543,1328,1215
Sikkim,Assault on Women wih intent to outrage her Modesty,8,29,0,8,29,29,58,5,13,40,24,16
Tamil Nadu,Assault on Women wih intent to outrage her Modesty,1069,1823,99,850,1943,5483,7426,1,5439,1986,536,1450
Tripura,Assault on Women wih intent to outrage her Modesty,86,460,29,78,439,247,686,14,391,281,45,236
Uttar Pradesh,Assault on Women wih intent to outrage her Modesty,347,12214,1512,1408,9641,11854,21495,302,18437,2756,1660,1096
Uttarakhand,Assault on Women wih intent to outrage her Modesty,8,394,5,6,391,590,981,0,801,180,119,61
West Bengal,Assault on Women wih intent to outrage her Modesty,420,5426,195,579,5072,14268,19340,5,18152,1183,98,1085
Total (State),Assault on Women wih intent to outrage her Modesty,9122,82875,3162,13119,75716,216389,292105,7345,245773,38987,8900,30087
A&N Islands,Assault on Women wih intent to outrage her Modesty,22,48,0,17,53,265,318,0,298,20,9,11
Chandigarh,Assault on Women wih intent to outrage her Modesty,33,166,4,45,150,107,257,0,182,75,15,60
D&N Haveli,Assault on Women wih intent to outrage her Modesty,1,1,0,0,2,30,32,0,32,0,0,0
Daman & Diu,Assault on Women wih intent to outrage her Modesty,5,0,0,5,0,0,0,0,0,0,0,0
Delhi UT,Assault on Women wih intent to outrage her Modesty,698,4129,10,1476,3341,4867,8208,8,7077,1123,446,677
Lakshadweep,Assault on Women wih intent to outrage her Modesty,0,1,0,1,0,0,0,0,0,0,0,0
Puducherry,Assault on Women wih intent to outrage her Modesty,15,9,0,0,24,262,286,12,244,30,11,19
Total (UTs),Assault on Women wih intent to outrage her Modesty,774,4354,14,1544,3570,5531,9101,20,7833,1248,481,767
Total (All-India),Assault on Women wih intent to outrage her Modesty,9896,87229,3176,14663,79286,221920,301206,7365,253606,40235,9381,30854
Andhra Pradesh,Attempt to Commit Murder,2124,3838,25,2454,3483,8490,11973,109,9417,2447,302,2145
Arunachal Pradesh,Attempt to Commit Murder,44,44,8,54,26,563,589,0,588,1,0,1
Assam,Attempt to Commit Murder,918,687,224,883,498,2061,2559,0,2281,278,29,249
Bihar,Attempt to Commit Murder,5856,8356,184,4532,9496,58669,68165,39,61965,6161,929,5232
Chhattisgarh,Attempt to Commit Murder,104,1178,0,118,1164,6290,7454,7,6186,1261,504,757
Goa,Attempt to Commit Murder,169,134,0,212,91,288,379,0,358,21,6,15
Gujarat,Attempt to Commit Murder,271,2271,4,432,2106,33007,35113,0,34229,884,56,828
Haryana,Attempt to Commit Murder,202,1876,0,181,1897,5677,7574,1,5739,1834,512,1322
Himachal Pradesh,Attempt to Commit Murder,44,159,0,29,174,921,1095,3,856,236,48,188
Jammu & Kashmir,Attempt to Commit Murder,39,1142,0,44,1137,10638,11775,129,10546,1100,35,1065
Jharkhand,Attempt to Commit Murder,1150,1330,0,1274,1206,3539,4745,11,3540,1194,301,893
Karnataka,Attempt to Commit Murder,1144,5201,136,1120,5089,14244,19333,89,16132,3112,156,2956
Kerala,Attempt to Commit Murder,1386,1627,0,1299,1714,18095,19809,19,19148,642,114,528
Madhya Pradesh,Attempt to Commit Murder,246,6527,0,186,6587,34033,40620,63,33512,7045,2268,4777
Maharashtra,Attempt to Commit Murder,3488,8119,43,3587,7977,74811,82788,35,79050,3703,351,3352
Manipur,Attempt to Commit Murder,209,72,76,199,6,72,78,0,72,6,1,5
Meghalaya,Attempt to Commit Murder,175,137,64,187,61,202,263,0,251,12,2,10
Mizoram,Attempt to Commit Murder,6,19,0,5,20,21,41,0,32,9,6,3
Nagaland,Attempt to Commit Murder,8,53,3,25,33,32,65,5,32,28,22,6
Odisha,Attempt to Commit Murder,524,3485,0,501,3508,15003,18511,0,16708,1803,226,1577
Punjab,Attempt to Commit Murder,2413,2276,122,3064,1503,5715,7218,0,5446,1772,702,1070
Rajasthan,Attempt to Commit Murder,55,3631,0,80,3606,22042,25648,268,22948,2432,1182,1250
Sikkim,Attempt to Commit Murder,7,10,0,5,12,22,34,0,14,20,15,5
Tamil Nadu,Attempt to Commit Murder,5984,7093,47,6498,6532,19508,26040,26,20687,5327,1154,4173
Tripura,Attempt to Commit Murder,28,90,18,18,82,141,223,1,150,72,9,63
Uttar Pradesh,Attempt to Commit Murder,2038,14162,2675,2821,10704,48295,58999,70,52122,6807,3222,3585
Uttarakhand,Attempt to Commit Murder,65,275,0,104,236,1621,1857,0,1423,434,185,249
West Bengal,Attempt to Commit Murder,1252,3850,129,1198,3775,9546,13321,0,11846,1475,127,1348
Total (State),Attempt to Commit Murder,29949,77642,3758,31110,72723,393546,466269,875,415278,50116,12464,37652
A&N Islands,Attempt to Commit Murder,17,4,0,4,17,142,159,0,153,6,0,6
Chandigarh,Attempt to Commit Murder,26,101,2,47,78,302,380,0,236,144,42,102
D&N Haveli,Attempt to Commit Murder,6,1,0,6,1,34,35,0,30,5,1,4
Daman & Diu,Attempt to Commit Murder,1,1,0,1,1,34,35,0,35,0,0,0
Delhi UT,Attempt to Commit Murder,863,1092,2,998,955,9000,9955,0,9159,796,355,441
Lakshadweep,Attempt to Commit Murder,22,0,0,0,22,0,22,0,22,0,0,0
Puducherry,Attempt to Commit Murder,96,36,0,53,79,653,732,0,704,28,4,24
Total (UTs),Attempt to Commit Murder,1031,1235,4,1109,1153,10165,11318,0,10339,979,402,577
Total (All-India),Attempt to Commit Murder,30980,78877,3762,32219,73876,403711,477587,875,425617,51095,12866,38229
Andhra Pradesh,Auto Theft,1651,5967,18,1775,5825,8407,14232,1006,9559,3667,1498,2169
Arunachal Pradesh,Auto Theft,101,104,108,44,53,396,449,5,444,0,0,0
Assam,Auto Theft,1663,1717,776,1974,630,1548,2178,0,1824,354,35,319
Bihar,Auto Theft,2714,3992,184,2985,3537,10532,14069,16,12912,1141,145,996
Chhattisgarh,Auto Theft,50,1041,0,31,1060,3772,4832,111,3692,1029,254,775
Goa,Auto Theft,35,78,9,39,65,384,449,19,367,63,14,49
Gujarat,Auto Theft,225,2803,0,268,2760,30636,33396,14,32042,1340,135,1205
Haryana,Auto Theft,653,3810,0,338,4125,11752,15877,0,11970,3907,1645,2262
Himachal Pradesh,Auto Theft,56,125,8,36,137,864,1001,0,928,73,18,55
Jammu & Kashmir,Auto Theft,28,162,0,36,154,2645,2799,4,2623,172,4,168
Jharkhand,Auto Theft,440,858,0,525,773,1098,1871,3,940,928,262,666
Karnataka,Auto Theft,280,2747,68,363,2596,8056,10652,566,8030,2056,191,1865
Kerala,Auto Theft,510,987,0,513,984,6381,7365,23,6711,631,270,361
Madhya Pradesh,Auto Theft,27,4238,0,48,4217,15451,19668,440,16782,2446,868,1578
Maharashtra,Auto Theft,2470,6122,244,2758,5590,58140,63730,1606,58839,3285,381,2904
Manipur,Auto Theft,63,138,113,79,9,37,46,0,41,5,1,4
Meghalaya,Auto Theft,52,47,20,54,25,197,222,0,208,14,6,8
Mizoram,Auto Theft,11,75,9,33,44,8,52,0,32,20,19,1
Nagaland,Auto Theft,20,113,23,61,49,18,67,0,31,36,33,3
Odisha,Auto Theft,199,2011,0,243,1967,7971,9938,0,9112,826,127,699
Punjab,Auto Theft,924,1249,17,910,1246,5871,7117,0,5674,1443,715,728
Rajasthan,Auto Theft,32,3031,0,46,3017,16217,19234,112,17273,1849,931,918
Sikkim,Auto Theft,11,21,4,9,19,4,23,2,3,18,9,9
Tamil Nadu,Auto Theft,1021,4054,33,1407,3635,8027,11662,4,8288,3370,1752,1618
Tripura,Auto Theft,5,99,6,33,65,91,156,0,104,52,9,43
Uttar Pradesh,Auto Theft,549,5568,165,568,5384,13612,18996,6,15848,3142,1791,1351
Uttarakhand,Auto Theft,82,358,33,20,387,980,1367,2,910,455,382,73
West Bengal,Auto Theft,3761,2529,1505,3377,1408,7554,8962,6,8663,293,25,268
Total (State),Auto Theft,17633,54044,3343,18573,49761,220649,270410,3945,233850,32615,11520,21095
A&N Islands,Auto Theft,6,1,0,7,0,29,29,0,25,4,0,4
Chandigarh,Auto Theft,35,531,9,67,490,672,1162,0,894,268,210,58
D&N Haveli,Auto Theft,4,15,0,1,18,97,115,0,97,18,4,14
Daman & Diu,Auto Theft,13,10,0,16,7,47,54,12,33,9,0,9
Delhi UT,Auto Theft,1121,3199,435,1399,2486,18922,21408,56,18355,2997,1175,1822
Lakshadweep,Auto Theft,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Auto Theft,25,56,0,7,74,271,345,0,283,62,28,34
Total (UTs),Auto Theft,1204,3812,444,1497,3075,20038,23113,68,19687,3358,1417,1941
Total (All-India),Auto Theft,18837,57856,3787,20070,52836,240687,293523,4013,253537,35973,12937,23036
Andhra Pradesh,Burglary,2866,7458,32,3737,6555,13047,19602,401,13611,5590,1915,3675
Arunachal Pradesh,Burglary,59,125,70,50,64,1381,1445,3,1420,22,11,11
Assam,Burglary,4732,3281,2180,4577,1256,4446,5702,0,4352,1350,109,1241
Bihar,Burglary,2582,3211,842,2358,2593,16308,18901,0,17196,1705,317,1388
Chhattisgarh,Burglary,69,2039,0,91,2017,16224,18241,58,15821,2362,584,1778
Goa,Burglary,204,190,55,182,157,886,1043,0,913,130,29,101
Gujarat,Burglary,294,3572,0,309,3557,43934,47491,54,45580,1857,139,1718
Haryana,Burglary,619,3466,0,391,3694,13132,16826,0,13617,3209,1079,2130
Himachal Pradesh,Burglary,91,507,3,91,504,3060,3564,63,3160,341,58,283
Jammu & Kashmir,Burglary,19,587,0,27,579,7164,7743,5,6680,1058,47,1011
Jharkhand,Burglary,398,485,0,426,457,1226,1683,0,1092,591,169,422
Karnataka,Burglary,417,3326,77,636,3030,11533,14563,19,11643,2901,385,2516
Kerala,Burglary,643,1891,0,612,1922,11827,13749,3,12527,1219,545,674
Madhya Pradesh,Burglary,146,6513,4,135,6520,41473,47993,496,42235,5262,1392,3870
Maharashtra,Burglary,4759,14578,733,5719,12885,135482,148367,833,138305,9229,1005,8224
Manipur,Burglary,51,22,7,64,2,179,181,0,176,5,4,1
Meghalaya,Burglary,195,94,35,205,49,568,617,1,591,25,18,7
Mizoram,Burglary,43,396,34,99,306,216,522,0,227,295,262,33
Nagaland,Burglary,10,26,11,6,19,35,54,0,26,28,22,6
Odisha,Burglary,467,2975,0,474,2968,22359,25327,0,23848,1479,143,1336
Punjab,Burglary,1510,2139,39,1584,2026,7840,9866,0,8288,1578,788,790
Rajasthan,Burglary,16,2946,0,31,2931,24485,27416,46,24486,2884,1137,1747
Sikkim,Burglary,17,110,2,8,117,22,139,0,4,135,23,112
Tamil Nadu,Burglary,1572,4763,33,1984,4318,10909,15227,0,12095,3132,1535,1597
Tripura,Burglary,57,217,37,53,184,97,281,0,177,104,20,84
Uttar Pradesh,Burglary,603,5643,705,690,4851,20654,25505,18,22316,3171,1695,1476
Uttarakhand,Burglary,72,300,37,18,317,1178,1495,0,1067,428,381,47
West Bengal,Burglary,838,493,161,754,416,3982,4398,0,4310,88,7,81
Total (State),Burglary,23349,71353,5097,25311,64294,413647,477941,2000,425763,50178,13819,36359
A&N Islands,Burglary,37,32,0,23,46,413,459,0,435,24,13,11
Chandigarh,Burglary,32,247,17,33,229,409,638,0,427,211,177,34
D&N Haveli,Burglary,29,30,0,8,51,250,301,0,275,26,4,22
Daman & Diu,Burglary,15,44,0,42,17,99,116,3,100,13,0,13
Delhi UT,Burglary,375,1430,180,561,1064,10985,12049,15,11100,934,473,461
Lakshadweep,Burglary,4,1,0,4,1,5,6,0,6,0,0,0
Puducherry,Burglary,26,123,0,6,143,230,373,0,347,26,7,19
Total (UTs),Burglary,518,1907,197,677,1551,12391,13942,18,12690,1234,674,560
Total (All-India),Burglary,23867,73260,5294,25988,65845,426038,491883,2018,438453,51412,14493,36919
Andhra Pradesh,C H Not amounting to Murder,125,280,10,175,220,677,897,1,708,188,27,161
Arunachal Pradesh,C H Not amounting to Murder,0,3,0,2,1,61,62,0,62,0,0,0
Assam,C H Not amounting to Murder,123,51,19,120,35,145,180,0,159,21,2,19
Bihar,C H Not amounting to Murder,500,505,23,481,501,2633,3134,2,2640,492,74,418
Chhattisgarh,C H Not amounting to Murder,2,50,0,3,49,132,181,0,145,36,14,22
Goa,C H Not amounting to Murder,5,0,0,3,2,39,41,0,41,0,0,0
Gujarat,C H Not amounting to Murder,6,74,0,9,71,798,869,0,838,31,1,30
Haryana,C H Not amounting to Murder,9,74,0,4,79,444,523,0,413,110,26,84
Himachal Pradesh,C H Not amounting to Murder,3,19,0,2,20,124,144,0,129,15,3,12
Jammu & Kashmir,C H Not amounting to Murder,2,20,0,1,21,166,187,0,160,27,1,26
Jharkhand,C H Not amounting to Murder,42,99,0,40,101,369,470,0,390,80,15,65
Karnataka,C H Not amounting to Murder,21,98,1,23,95,231,326,3,263,60,1,59
Kerala,C H Not amounting to Murder,107,147,0,118,136,1007,1143,0,1082,61,6,55
Madhya Pradesh,C H Not amounting to Murder,9,209,0,2,216,672,888,1,729,158,57,101
Maharashtra,C H Not amounting to Murder,167,447,4,235,375,2529,2904,4,2721,179,15,164
Manipur,C H Not amounting to Murder,5,3,1,3,4,20,24,0,24,0,0,0
Meghalaya,C H Not amounting to Murder,26,19,6,26,13,44,57,2,54,1,0,1
Mizoram,C H Not amounting to Murder,14,2,7,0,9,4,13,0,6,7,4,3
Nagaland,C H Not amounting to Murder,2,11,3,7,3,4,7,0,6,1,1,0
Odisha,C H Not amounting to Murder,15,67,0,14,68,343,411,0,346,65,8,57
Punjab,C H Not amounting to Murder,264,140,6,265,133,547,680,0,520,160,73,87
Rajasthan,C H Not amounting to Murder,0,99,0,0,99,454,553,4,486,63,25,38
Sikkim,C H Not amounting to Murder,0,0,0,0,0,4,4,0,0,4,2,2
Tamil Nadu,C H Not amounting to Murder,34,37,0,28,43,93,136,0,91,45,10,35
Tripura,C H Not amounting to Murder,0,1,0,1,0,10,10,0,9,1,0,1
Uttar Pradesh,C H Not amounting to Murder,524,3462,681,626,2679,13166,15845,14,13705,2126,1090,1036
Uttarakhand,C H Not amounting to Murder,14,51,1,2,62,364,426,0,325,101,60,41
West Bengal,C H Not amounting to Murder,759,465,38,678,508,5689,6197,0,5688,509,73,436
Total (State),C H Not amounting to Murder,2778,6433,800,2868,5543,30769,36312,31,31740,4541,1588,2953
A&N Islands,C H Not amounting to Murder,0,1,0,1,0,48,48,0,46,2,1,1
Chandigarh,C H Not amounting to Murder,10,9,0,11,8,29,37,0,21,16,4,12
D&N Haveli,C H Not amounting to Murder,0,1,0,0,1,6,7,0,3,4,0,4
Daman & Diu,C H Not amounting to Murder,0,3,0,0,3,1,4,0,4,0,0,0
Delhi UT,C H Not amounting to Murder,83,66,0,93,56,1554,1610,0,1524,86,35,51
Lakshadweep,C H Not amounting to Murder,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,C H Not amounting to Murder,16,5,0,8,13,108,121,0,120,1,1,0
Total (UTs),C H Not amounting to Murder,109,85,0,113,81,1746,1827,0,1718,109,41,68
Total (All-India),C H Not amounting to Murder,2887,6518,800,2981,5624,32515,38139,31,33458,4650,1629,3021
Andhra Pradesh,Causing death by negligence,3077,11599,57,3278,11341,28516,39857,570,31474,7813,673,7140
Arunachal Pradesh,Causing death by negligence,38,105,41,39,63,266,329,0,313,16,7,9
Assam,Causing death by negligence,2824,2936,765,2916,2079,5831,7910,0,5873,2037,139,1898
Bihar,Causing death by negligence,2276,3792,365,1636,4067,18952,23019,377,20775,1867,285,1582
Chhattisgarh,Causing death by negligence,209,2163,0,213,2159,6888,9047,52,6829,2166,527,1639
Goa,Causing death by negligence,126,160,6,150,130,856,986,0,817,169,20,149
Gujarat,Causing death by negligence,525,4337,0,502,4360,31252,35612,133,33192,2287,259,2028
Haryana,Causing death by negligence,172,3017,0,241,2948,4168,7116,0,5707,1409,261,1148
Himachal Pradesh,Causing death by negligence,56,314,0,40,330,1966,2296,4,2059,233,35,198
Jammu & Kashmir,Causing death by negligence,5,300,0,3,302,1300,1602,15,1002,585,141,444
Jharkhand,Causing death by negligence,535,1117,0,573,1079,1279,2358,0,1348,1010,314,696
Karnataka,Causing death by negligence,157,786,22,178,743,1893,2636,3,1953,680,27,653
Kerala,Causing death by negligence,21,40,0,20,41,301,342,1,290,51,1,50
Madhya Pradesh,Causing death by negligence,74,7246,0,40,7280,21139,28419,505,23155,4759,1713,3046
Maharashtra,Causing death by negligence,3283,9421,20,3221,9463,90096,99559,785,92187,6587,370,6217
Manipur,Causing death by negligence,9,1,3,7,0,1,1,0,1,0,0,0
Meghalaya,Causing death by negligence,18,74,7,18,67,175,242,0,212,30,10,20
Mizoram,Causing death by negligence,10,47,1,8,48,19,67,1,37,29,18,11
Nagaland,Causing death by negligence,8,18,6,12,8,7,15,0,5,10,9,1
Odisha,Causing death by negligence,260,3948,0,265,3943,19748,23691,0,21808,1883,249,1634
Punjab,Causing death by negligence,2084,2646,124,2331,2275,9209,11484,0,9034,2450,882,1568
Rajasthan,Causing death by negligence,9,7038,0,19,7028,36565,43593,217,38017,5359,2313,3046
Sikkim,Causing death by negligence,10,56,3,7,56,58,114,7,10,97,43,54
Tamil Nadu,Causing death by negligence,7049,13230,601,7425,12253,34617,46870,269,37263,9338,2252,7086
Tripura,Causing death by negligence,23,167,9,7,174,87,261,0,158,103,8,95
Uttar Pradesh,Causing death by negligence,509,11884,892,678,10823,30280,41103,476,34637,5990,3354,2636
Uttarakhand,Causing death by negligence,18,437,7,18,430,1773,2203,9,1860,334,237,97
West Bengal,Causing death by negligence,870,3111,325,454,3202,14712,17914,6,16703,1205,94,1111
Total (State),Causing death by negligence,24255,89990,3254,24299,86692,361954,448646,3430,386719,58497,14241,44256
A&N Islands,Causing death by negligence,3,6,0,0,9,37,46,0,44,2,1,1
Chandigarh,Causing death by negligence,3,6,0,0,9,53,62,0,38,24,0,24
D&N Haveli,Causing death by negligence,7,21,0,5,23,131,154,0,140,14,0,14
Daman & Diu,Causing death by negligence,8,21,0,9,20,106,126,0,107,19,0,19
Delhi UT,Causing death by negligence,178,647,1,284,540,1059,1599,3,1138,458,193,265
Lakshadweep,Causing death by negligence,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Causing death by negligence,167,213,0,97,283,680,963,0,622,341,328,13
Total (UTs),Causing death by negligence,366,914,1,395,884,2066,2950,3,2089,858,522,336
Total (All-India),Causing death by negligence,24621,90904,3255,24694,87576,364020,451596,3433,388808,59355,14763,44592
Andhra Pradesh,Cheating,4413,10673,140,5745,9201,24037,33238,2126,26273,4839,791,4048
Arunachal Pradesh,Cheating,83,64,10,109,28,309,337,0,332,5,3,2
Assam,Cheating,1524,1863,888,1732,767,2328,3095,0,2197,898,44,854
Bihar,Cheating,4685,5133,418,3635,5765,23321,29086,164,26496,2426,334,2092
Chhattisgarh,Cheating,314,1400,46,271,1397,4968,6365,125,5562,678,374,304
Goa,Cheating,337,132,6,403,60,596,656,3,631,22,5,17
Gujarat,Cheating,452,2239,4,669,2018,32849,34867,31,33974,862,51,811
Haryana,Cheating,339,1688,0,228,1799,7107,8906,0,7245,1661,395,1266
Himachal Pradesh,Cheating,122,345,9,164,294,1608,1902,15,1762,125,35,90
Jammu & Kashmir,Cheating,18,751,0,21,748,4709,5457,123,4532,802,41,761
Jharkhand,Cheating,699,2010,0,1111,1598,1918,3516,34,2289,1193,302,891
Karnataka,Cheating,1517,4865,114,1927,4341,14398,18739,240,16571,1928,147,1781
Kerala,Cheating,1268,4169,0,1489,3948,16944,20892,117,19092,1683,227,1456
Madhya Pradesh,Cheating,257,2438,0,267,2428,16214,18642,226,16646,1770,707,1063
Maharashtra,Cheating,6444,12899,184,8013,11146,92481,103627,451,98987,4189,326,3863
Manipur,Cheating,128,71,50,142,7,62,69,0,67,2,2,0
Meghalaya,Cheating,200,158,74,190,94,331,425,8,409,8,4,4
Mizoram,Cheating,17,44,0,23,38,32,70,6,29,35,27,8
Nagaland,Cheating,33,54,18,44,25,36,61,0,17,44,32,12
Odisha,Cheating,183,2148,0,188,2143,8698,10841,0,10024,817,97,720
Punjab,Cheating,2738,4389,203,3415,3509,21743,25252,6,22235,3011,821,2190
Rajasthan,Cheating,174,5584,0,177,5581,31551,37132,751,34272,2109,790,1319
Sikkim,Cheating,27,31,0,21,37,64,101,0,14,87,59,28
Tamil Nadu,Cheating,5546,4630,149,5885,4142,8411,12553,5,9908,2640,338,2302
Tripura,Cheating,10,194,2,81,121,78,199,0,125,74,9,65
Uttar Pradesh,Cheating,10558,34281,15119,14293,15427,41900,57327,487,50075,6765,3441,3324
Uttarakhand,Cheating,293,378,240,38,393,2847,3240,15,2823,402,228,174
West Bengal,Cheating,3201,6204,1593,3284,4528,11752,16280,14,15263,1003,24,979
Total (State),Cheating,45580,108835,19267,53565,81583,371292,452875,4947,407850,40078,9654,30424
A&N Islands,Cheating,37,19,0,21,35,219,254,0,218,36,28,8
Chandigarh,Cheating,162,270,19,158,255,1359,1614,0,1385,229,23,206
D&N Haveli,Cheating,14,9,0,9,14,157,171,0,166,5,1,4
Daman & Diu,Cheating,6,22,0,15,13,69,82,5,67,10,0,10
Delhi UT,Cheating,661,1418,60,436,1583,14384,15967,37,14973,957,430,527
Lakshadweep,Cheating,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,Cheating,110,46,4,79,73,239,312,8,298,6,0,6
Total (UTs),Cheating,990,1784,83,718,1973,16427,18400,50,17107,1243,482,761
